n,T,Avg BP Explored,Avg DDD Run-Time (ms),Iterations,Avg BP Explored,Avg DDD Run-Time (ms),Iterations,Avg BP Explored,Avg DDD Run-Time (ms),Iterations
50,40,49,17.4,612,45.5,16.2,567,49.9,17.4,625
50,40,54.9,20.2,679,52.7,19.8,657,55.6,20.7,686
50,40,53.9,10.6,670,53.7,10.1,671,55.6,10.8,687
50,40,58.6,11,714,56.2,10.1,690,57,10.4,698
50,40,59.1,18.5,752,58.9,18.9,752,61,18.8,773
50,40,53.7,16.5,659,49.2,15.8,601,53.3,16.3,655
50,60,57.3,22.3,703,56.8,21.1,719,59.3,21.7,723
50,60,64.9,25.3,802,57.1,21.2,724,61.5,23.1,768
50,60,71.4,13,893,69.5,12.7,874,73.5,14.5,914
50,60,71.7,13.8,883,66.5,12.2,831,67.6,13.1,837
50,60,69.7,21.9,867,64,20,807,64.8,20.5,815
50,60,66.3,21.4,810,58,18.2,740,60.8,19.3,755
