n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,1,45.5,0,inf,15.775,0,0,7.6,1,16.2,0,inf,567
50,40,1,2,1,52.7,0,inf,19.4628,0,0,7.5,1,19.8,0,inf,657
50,40,2,1,1,53.7,0,inf,9.93201,0,0,13,1,10.1,0,inf,671
50,40,2,2,1,56.2,0,inf,10.0008,0,0,13,1,10.1,0,inf,690
50,40,3,1,1,58.9,0,inf,18.4867,0,0,9,1,18.9,0,inf,752
50,40,3,2,1,49.2,0,inf,15.4311,0,0,8.9,1,15.8,0,inf,601
50,60,1,1,1,56.8,0,inf,20.7925,0,0,7.6,1,21.1,0,inf,719
50,60,1,2,1,57.1,0,inf,20.5537,0,0,7.5,1,21.2,0,inf,724
50,60,2,1,1,69.5,0,inf,12.45,0,0,13,1,12.7,0,inf,874
50,60,2,2,1,66.5,0,inf,11.9985,0,0,13,1,12.2,0,inf,831
50,60,3,1,1,64,0,inf,19.4313,0,0,9,1,20,0,inf,807
50,60,3,2,1,58,0,inf,18.039,0,0,8.9,1,18.2,0,inf,740
