Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,44,15,0,0,8,1,58,4.48131
1,1,38,14,0,0,7,1,46,4.21342
1,1,39,13,0,0,8,1,52,4.06722
1,1,41,14,0,0,7,1,54,3.80876
1,1,56,19,0,0,9,1,64,4.82904
1,1,60,21,0,0,8,1,79,4.29745
1,1,47,17,0,0,7,1,56,4.20665
1,1,79,28,0,0,7,1,95,3.81897
1,1,42,15,0,0,8,1,58,4.20992
1,1,53,18,0,0,7,1,63,3.44961
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,56,19,0,0,8,1,70,4.79135
1,1,53,22,0,0,7,1,67,4.41775
1,1,57,20,0,0,7,1,84,4.26586
1,1,49,20,0,0,7,1,61,3.98685
1,1,81,30,0,0,9,1,97,5.1235
1,1,53,20,0,0,8,1,61,4.55702
1,1,53,20,0,0,7,1,64,4.4599
1,1,61,22,0,0,7,1,74,4.04584
1,1,39,16,0,0,8,1,45,4.44914
1,1,54,18,0,0,7,1,63,3.62161
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,52,11,0,0,13,1,67,4.50042
1,1,47,9,0,0,13,1,61,4.40475
1,1,55,9,0,0,13,1,66,4.54227
1,1,59,11,0,0,13,1,74,4.9047
1,1,61,11,0,0,13,1,75,4.66926
1,1,64,13,0,0,13,1,79,4.38549
1,1,79,16,0,0,13,1,95,4.71815
1,1,45,9,0,0,13,1,56,4.62246
1,1,47,11,0,0,13,1,56,4.41738
1,1,47,8,0,0,13,1,58,4.75197
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,59,11,0,0,13,1,73,4.83055
1,1,54,9,0,0,13,1,66,4.67694
1,1,50,9,0,0,13,1,62,4.80451
1,1,65,11,0,0,13,1,72,5.22533
1,1,47,8,0,0,13,1,61,5.06262
1,1,62,12,0,0,13,1,74,4.67359
1,1,56,10,0,0,13,1,73,4.97873
1,1,69,14,0,0,13,1,81,4.96365
1,1,52,11,0,0,13,1,63,4.68271
1,1,56,9,0,0,13,1,73,5.04908
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,46,14,0,0,9,1,57,5.15139
1,1,63,21,0,0,9,1,74,5.38049
1,1,67,20,0,0,7,1,86,4.49651
1,1,46,13,0,0,10,1,59,5.36515
1,1,53,17,0,0,9,1,60,6.05878
1,1,46,15,0,0,8,1,62,4.37009
1,1,88,27,0,0,9,1,128,4.30329
1,1,62,21,0,0,9,1,79,5.00898
1,1,78,22,0,0,11,1,86,4.63429
1,1,61,18,0,0,9,1,82,5.63219
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,41,12,0,0,9,1,48,5.4326
1,1,50,15,0,0,9,1,62,5.72755
1,1,56,18,0,0,7,1,65,4.67834
1,1,44,13,0,0,10,1,63,5.52545
1,1,60,19,0,0,8,1,66,6.34063
1,1,32,9,0,0,8,1,36,4.61803
1,1,56,18,0,0,9,1,67,4.59385
1,1,65,20,0,0,9,1,80,5.33057
1,1,64,19,0,0,11,1,81,4.87037
1,1,65,20,0,0,9,1,87,6.05039
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,64,22,0,0,8,1,81,6.7089
1,1,53,20,0,0,7,1,68,6.31439
1,1,62,22,0,0,8,1,76,6.08196
1,1,47,17,0,0,7,1,55,5.70694
1,1,67,23,0,0,9,1,84,7.23189
1,1,56,20,0,0,8,1,67,6.43454
1,1,55,19,0,0,7,1,65,6.30332
1,1,84,32,0,0,7,1,94,5.71853
1,1,44,17,0,0,8,1,59,6.30378
1,1,61,25,0,0,7,1,74,5.1668
