n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,0,415.7,0,inf,1170.28,1.3,1075.5,7.6,4.1,1316.8,0,inf,112
50,40,1,2,0,421.7,0,inf,1033.91,0.8,924.3,7.5,5.5,1162.7,0,inf,96
50,40,2,1,0,581.6,0,inf,2428.46,0,2364,13,4.6,2553.9,0,inf,169
50,40,2,2,0,582.3,0,inf,2160.9,0,2001.6,13,6.7,2194.8,0,inf,147
50,40,3,1,0,430.7,0,inf,1222.43,0.2,1158.4,8.7,4.4,1364,0,inf,121
50,40,3,2,0,456.6,0,inf,1260.12,0.1,1161.6,8.7,5.1,1383.9,0,inf,112
50,60,1,1,0,581.8,0,inf,1583.84,1.1,1462,7.6,3.8,1800.8,0,inf,112
50,60,1,2,0,592.5,0,inf,1445.67,1,1313.2,7.5,5.2,1662.1,0,inf,95
50,60,2,1,0,905.9,0,inf,4458.73,0,4454.1,13,4.1,4762.7,0,inf,184
50,60,2,2,0,809.5,0,inf,3023.05,0,2778.4,13,6.4,3052.1,0,inf,139
50,60,3,1,0,619.8,0,inf,1881.72,0.5,1835,8.7,3.8,2144.2,0,inf,124
50,60,3,2,0,621.8,0,inf,1696.34,0.3,1549.1,8.7,5.1,1863.9,0,inf,107
