Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,466,1615,2,1332,8,4,13,4.41862
0,1,443,1628,2,1357,7,4,12,4.18862
0,1,627,3178,3,2791,8,4,18,4.02156
0,1,352,875,1,663,7,5,9,3.77283
0,1,460,1682,5,1417,9,4,13,4.74864
0,1,376,985,0,778,8,5,10,4.21906
0,1,347,760,0,566,7,5,9,4.14756
0,1,352,805,0,612,7,4,9,3.71742
0,1,379,969,0,752,8,3,10,4.19338
0,1,355,671,0,487,7,3,9,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,460,1258,0,1002,8,6,11,4.57116
0,1,365,892,1,687,7,5,8,4.29939
0,1,668,2976,0,2584,7,6,17,4.15324
0,1,370,792,0,582,7,6,8,3.87614
0,1,487,1670,0,1396,9,6,11,4.9214
0,1,397,986,0,766,8,6,9,4.3735
0,1,365,779,0,572,7,5,8,4.29007
0,1,336,599,0,414,7,6,7,3.81082
0,1,397,958,6,724,8,4,9,4.30992
0,1,372,717,1,516,7,5,8,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,524,1901,0,1733,13,5,15,4.39602
0,1,529,2154,0,1983,13,6,15,4.31946
0,1,649,3164,0,2947,13,4,19,4.47354
0,1,755,4693,0,4441,13,4,23,4.78405
0,1,521,1966,0,1796,13,4,15,4.55497
0,1,556,2164,0,1984,13,5,16,4.30198
0,1,525,1845,0,1677,13,5,15,4.55049
0,1,644,3318,0,3106,13,5,19,4.47888
0,1,531,1730,0,1559,13,3,15,4.35786
0,1,582,2604,0,2414,13,5,17,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,559,2054,0,1871,13,6,14,4.54635
0,1,559,2033,0,1851,13,8,14,4.46165
0,1,590,2206,0,2009,13,7,15,4.6175
0,1,552,2002,0,1820,13,7,14,4.92388
0,1,553,1876,0,1694,13,6,14,4.71539
0,1,590,2303,0,2109,13,7,15,4.45106
0,1,555,1854,0,1668,13,7,14,4.70642
0,1,622,2562,0,2350,13,7,16,4.62326
0,1,562,1801,0,1616,13,6,13,4.48902
0,1,681,3257,0,3028,13,6,18,4.82826
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,396,1047,0,862,9,3,11,5.08034
0,1,395,1219,0,1032,9,4,11,5.22798
0,1,349,803,0,640,7,5,9,4.46558
0,1,432,1367,1,1156,10,4,12,5.31993
0,1,671,3494,1,3156,7,4,21,5.92404
0,1,377,678,0,506,8,5,10,4.25806
0,1,404,1000,0,812,9,5,11,4.17954
0,1,401,1011,0,820,9,6,11,4.83938
0,1,492,1757,0,1525,10,5,14,4.49456
0,1,390,1264,0,1075,9,3,11,5.47052
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,414,1092,1,892,9,6,10,5.23148
0,1,478,1691,0,1456,9,6,12,5.39396
0,1,363,789,0,615,7,5,8,4.58144
0,1,450,1351,0,1138,10,5,11,5.43713
0,1,646,2837,0,2510,7,5,18,6.13164
0,1,365,581,0,411,8,4,8,4.383
0,1,399,888,0,697,9,5,9,4.30051
0,1,522,1679,0,1414,9,4,13,4.99433
0,1,522,1712,0,1462,10,6,13,4.64467
0,1,407,1219,0,1021,9,5,10,5.67654
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,659,2253,1,1878,8,4,13,6.6136
