n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,0,300.5,0,inf,5129.47,16.3,5353.9,7.6,4.1,5564.1,0,inf,687
50,40,1,2,0,289.8,0,inf,4015.51,12.6,4504,7.5,5.5,4698.9,0,inf,606
50,40,2,1,0,393.5,0,inf,10868.2,0,11216.8,13,4.6,11403.6,0,inf,1079
50,40,2,2,0,372.2,0,inf,8605.84,0.1,8586,13,6.7,8754.2,0,inf,940
50,40,3,1,0,319,0,inf,5447.55,1.9,6016.2,8.7,4.4,6205.7,0,inf,741
50,40,3,2,0,298.3,0,inf,4681.75,1.6,5032.5,8.7,5.1,5207.2,0,inf,679
50,60,1,1,0,391.3,0,inf,7021.33,15.4,7660.6,7.6,3.8,7939.2,0,inf,798
50,60,1,2,0,354,0,inf,5300.52,18.2,6141.1,7.5,5.2,6387.4,0,inf,667
50,60,2,1,0,546.1,0,inf,20636.5,0.1,21601.2,13,4.1,21869,0,inf,1337
50,60,2,2,0,455.1,0,inf,11589.2,0.2,11575.2,13,6.4,11786.6,0,inf,1002
50,60,3,1,0,423.3,0,inf,8810.54,5.6,9759.1,8.7,3.8,10030.1,0,inf,858
50,60,3,2,0,363.2,0,inf,6550.03,4.9,7099.9,8.7,5.1,7323,0,inf,733
