Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,331,7058,18,6824,8,4,81,4.41862
0,1,286,5587,13,5386,7,4,66,4.18862
0,1,396,11241,35,10935,8,4,110,4.02156
0,1,275,3630,10,3447,7,5,56,3.77283
0,1,344,7866,12,7627,9,4,78,4.74864
0,1,284,4611,6,4419,8,5,60,4.21906
0,1,255,3645,21,3466,7,5,57,4.14756
0,1,270,3438,19,3255,7,4,51,3.71742
0,1,293,5330,25,5122,8,3,67,4.19338
0,1,271,3235,4,3058,7,3,61,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,318,5463,12,5251,8,6,70,4.57116
0,1,276,4207,18,4017,7,5,57,4.29939
0,1,406,13805,31,13487,7,6,125,4.15324
0,1,269,2781,17,2605,7,6,40,3.87614
0,1,324,5286,5,5074,9,6,57,4.9214
0,1,283,4122,7,3938,8,6,57,4.3735
0,1,277,3282,7,3100,7,5,55,4.29007
0,1,203,1747,9,1620,7,6,35,3.81082
0,1,257,3297,11,3124,8,4,53,4.30992
0,1,285,2999,9,2824,7,5,57,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,378,8375,0,8207,13,5,90,4.39602
0,1,372,8966,0,8795,13,6,92,4.31946
0,1,406,13257,0,13054,13,4,122,4.47354
0,1,490,21694,0,21455,13,4,147,4.78405
0,1,374,8956,0,8781,13,4,97,4.55497
0,1,377,9975,0,9796,13,5,102,4.30198
0,1,357,8113,0,7945,13,5,93,4.55049
0,1,433,14449,0,14242,13,5,120,4.47888
0,1,360,9196,0,9026,13,3,101,4.35786
0,1,388,11055,0,10867,13,5,115,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,380,8983,0,8816,13,6,94,4.54635
0,1,340,7367,0,7216,13,8,88,4.46165
0,1,365,8902,0,8730,13,7,99,4.6175
