n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,0,219.2,0,inf,2324.33,0.5,2438.4,7.6,4.1,2574.9,0,inf,527
50,40,1,2,0,219.9,0,inf,2031.33,0.6,2163.8,7.5,5.5,2293.9,0,inf,439
50,40,2,1,0,271,0,inf,4958.81,0,5037.5,13,4.6,5155.2,0,inf,841
50,40,2,2,0,274.4,0,inf,4528.35,0,4513.5,13,6.7,4629.9,0,inf,730
50,40,3,1,0,232.7,0,inf,2981.39,0.1,3426.9,8.7,4.4,3559.3,0,inf,640
50,40,3,2,0,235.1,0,inf,2814.93,0.1,3063.7,8.7,5.1,3191.1,0,inf,559
50,60,1,1,0,262.1,0,inf,3505.28,1.4,3702.1,7.6,3.8,3874.9,0,inf,704
50,60,1,2,0,249.1,0,inf,2494.19,0.7,2787.6,7.5,5.2,2939.3,0,inf,511
50,60,2,1,0,345.2,0,inf,9348.96,0,9567.9,13,4.1,9739.4,0,inf,1274
50,60,2,2,0,301,0,inf,5282.78,0,5391.3,13,6.4,5519,0,inf,780
50,60,3,1,0,290.3,0,inf,5175.03,0.2,6016.4,8.7,3.8,6196,0,inf,942
50,60,3,2,0,268.7,0,inf,3534.22,0.3,3903,8.7,5.1,4053,0,inf,643
