Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,241,3060,1,2905,8,4,61,4.41862
0,1,224,3168,0,3024,7,4,61,4.18862
0,1,276,4910,2,4726,8,4,79,4.02156
0,1,200,1727,0,1605,7,5,43,3.77283
0,1,245,4420,2,4255,9,4,72,4.74864
0,1,200,1856,0,1739,8,5,43,4.21906
0,1,202,1725,0,1605,7,5,44,4.14756
0,1,188,1238,0,1130,7,4,34,3.71742
0,1,211,2177,0,2046,8,3,47,4.19338
0,1,205,1468,0,1349,7,3,43,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,243,2935,0,2790,8,6,55,4.57116
0,1,217,2187,1,2059,7,5,43,4.29939
0,1,261,4550,1,4377,7,6,71,4.15324
0,1,192,1311,0,1203,7,6,31,3.87614
0,1,264,4124,4,3957,9,6,61,4.9214
0,1,212,2011,0,1887,8,6,39,4.3735
0,1,220,1811,0,1684,7,5,40,4.29007
0,1,168,834,0,740,7,6,22,3.81082
0,1,208,1754,0,1634,8,4,38,4.30992
0,1,214,1422,0,1307,7,5,39,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,268,4284,0,4177,13,5,74,4.39602
0,1,246,3612,0,3509,13,6,66,4.31946
0,1,280,5709,0,5583,13,4,89,4.47354
0,1,337,8804,0,8654,13,4,111,4.78405
0,1,254,4109,0,4002,13,4,75,4.55497
0,1,264,5125,0,5006,13,5,88,4.30198
0,1,244,3433,0,3333,13,5,70,4.55049
0,1,279,6060,0,5930,13,5,93,4.47888
0,1,262,4349,0,4238,13,3,80,4.35786
0,1,276,6067,0,5943,13,5,95,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,274,4687,0,4570,13,6,74,4.54635
0,1,244,3047,0,2952,13,8,56,4.46165
0,1,278,4934,0,4817,13,7,74,4.6175
0,1,279,5211,0,5083,13,7,80,4.92388
0,1,249,3603,0,3499,13,6,63,4.71539
0,1,278,4216,0,4099,13,7,67,4.45106
0,1,280,4354,0,4244,13,7,71,4.70642
0,1,281,5033,0,4910,13,7,78,4.62326
0,1,273,4275,0,4157,13,6,72,4.48902
0,1,308,6939,0,6804,13,6,95,4.82826
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,233,3404,0,3273,9,3,66,5.08034
0,1,225,3243,0,3123,9,4,56,5.22798
0,1,207,1934,0,1824,7,5,43,4.46558
0,1,233,3545,0,3414,10,4,63,5.31993
0,1,337,10858,1,10622,7,4,139,5.92404
0,1,193,1112,0,1019,8,5,37,4.25806
0,1,217,2363,0,2245,9,5,58,4.17954
0,1,214,2160,0,2041,9,6,51,4.83938
0,1,251,4000,0,3858,10,5,72,4.49456
0,1,217,2974,0,2850,9,3,55,5.47052
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,238,3302,1,3166,9,6,58,5.23148
0,1,224,2695,0,2580,9,6,46,5.39396
0,1,207,1902,0,1800,7,5,40,4.58144
0,1,233,3687,0,3558,10,5,65,5.43713
0,1,331,7111,0,6915,7,5,94,6.13164
0,1,188,945,0,853,8,4,33,4.383
