n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,0,335.8,0,inf,2631.54,3.5,2733,7.6,4.1,2933.2,0,inf,308
50,40,1,2,0,319.6,0,inf,2433.16,3.9,2603.3,7.5,5.5,2796.9,0,inf,310
50,40,2,1,0,453.2,0,inf,5448.63,0.1,5551.7,13,4.6,5720.6,0,inf,400
50,40,2,2,0,440.3,0,inf,5027.78,0,5025.4,13,6.7,5192,0,inf,400
50,40,3,1,0,358.9,0,inf,3103.89,0.7,3288.6,8.7,4.4,3473.7,0,inf,330
50,40,3,2,0,336.8,0,inf,2714.72,1.1,2844.3,8.7,5.1,3020,0,inf,321
50,60,1,1,0,436.1,0,inf,3982.25,9.7,4157.1,7.6,3.8,4426.9,0,inf,356
50,60,1,2,0,390.2,0,inf,3290.84,10,3568.3,7.5,5.2,3812.1,0,inf,329
50,60,2,1,0,654.7,0,inf,10166.9,0,10391.2,13,4.1,10639.8,0,inf,487
50,60,2,2,0,528,0,inf,6294.92,0,6225.1,13,6.4,6420.5,0,inf,421
50,60,3,1,0,467.8,0,inf,4588.08,2.9,5234.3,8.7,3.8,5485,0,inf,362
50,60,3,2,0,417.5,0,inf,3828.46,6.1,4147.2,8.7,5.1,4374.7,0,inf,346
