Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,386,3943,0,3714,8,4,39,4.41862
0,1,322,3007,3,2810,7,4,32,4.18862
0,1,468,7100,5,6806,8,4,53,4.02156
0,1,289,1788,1,1617,7,5,24,3.77283
0,1,367,3575,2,3356,9,4,34,4.74864
0,1,319,2330,3,2147,8,5,26,4.21906
0,1,298,1940,4,1763,7,5,25,4.14756
0,1,294,1628,2,1455,7,4,22,3.71742
0,1,326,2153,10,1962,8,3,23,4.19338
0,1,289,1868,5,1700,7,3,30,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,354,3319,4,3109,8,6,36,4.57116
0,1,286,1840,0,1672,7,5,25,4.29939
0,1,464,7198,12,6895,7,6,53,4.15324
0,1,280,1743,5,1576,7,6,27,3.87614
0,1,386,4099,2,3864,9,6,35,4.9214
0,1,311,2634,3,2443,8,6,31,4.3735
0,1,295,1736,5,1559,7,5,24,4.29007
0,1,231,1093,1,964,7,6,19,3.81082
0,1,283,2218,5,2043,8,4,29,4.30992
0,1,306,2089,2,1908,7,5,31,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,413,4890,0,4736,13,5,37,4.39602
0,1,416,5038,0,4882,13,6,38,4.31946
0,1,481,5954,0,5768,13,4,41,4.47354
0,1,605,11131,1,10895,13,4,58,4.78405
0,1,400,3613,0,3474,13,4,32,4.55497
0,1,431,4986,0,4826,13,5,38,4.30198
0,1,424,4223,0,4067,13,5,33,4.55049
0,1,484,6769,0,6585,13,5,44,4.47888
0,1,419,4481,0,4332,13,3,36,4.35786
0,1,459,6121,0,5952,13,5,43,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,411,4209,0,4051,13,6,36,4.54635
0,1,392,3558,0,3417,13,8,32,4.46165
0,1,441,5581,0,5407,13,7,43,4.6175
0,1,442,5601,0,5429,13,7,39,4.92388
0,1,425,4580,0,4422,13,6,37,4.71539
0,1,460,5125,0,4949,13,7,38,4.45106
0,1,417,4211,0,4061,13,7,37,4.70642
0,1,486,7286,0,7100,13,7,53,4.62326
0,1,413,3882,0,3731,13,6,34,4.48902
0,1,516,7887,0,7687,13,6,51,4.82826
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,347,3171,2,2992,9,3,31,5.08034
0,1,351,3355,0,3179,9,4,30,5.22798
0,1,299,2840,0,2687,7,5,32,4.46558
0,1,330,2681,1,2512,10,4,28,5.31993
0,1,539,8676,2,8377,7,4,61,5.92404
0,1,312,1323,0,1171,8,5,24,4.25806
0,1,347,2208,0,2039,9,5,24,4.17954
0,1,337,2772,1,2596,9,6,32,4.83938
0,1,397,4385,1,4176,10,5,39,4.49456
0,1,330,3326,0,3157,9,3,29,5.47052
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,339,2925,0,2752,9,6,32,5.23148
0,1,349,3260,1,3077,9,6,31,5.39396
0,1,289,1942,0,1799,7,5,26,4.58144
0,1,337,2755,1,2583,10,5,30,5.43713
0,1,478,6688,4,6419,7,5,53,6.13164
0,1,262,1048,2,920,8,4,22,4.383
0,1,290,1732,1,1586,9,5,23,4.30051
0,1,356,3389,1,3196,9,4,38,4.99433
0,1,343,3511,0,3332,10,6,38,4.64467
0,1,325,2950,1,2779,9,5,28,5.67654
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,478,5072,10,4781,8,4,42,6.6136
0,1,445,5433,10,5153,7,4,39,6.26699
0,1,627,10197,18,9787,8,3,57,6.01858
0,1,367,2568,9,2340,7,4,29,5.65172
0,1,504,5954,10,5642,9,4,39,7.10603
0,1,396,3550,7,3306,8,4,32,6.31876
0,1,383,2784,10,2550,7,3,28,6.21879
0,1,369,2529,5,2307,7,5,26,5.56458
0,1,426,3554,4,3293,8,3,30,6.27963
0,1,366,2628,14,2412,7,4,34,5.12581
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,429,4115,8,3857,8,5,37,6.82613
0,1,374,3585,6,3360,7,5,33,6.43147
0,1,560,9670,14,9291,7,5,63,6.21043
0,1,339,2441,11,2231,7,5,26,5.80003
0,1,477,6122,8,5809,9,6,39,7.35444
0,1,375,3946,15,3712,8,6,35,6.52763
0,1,328,1951,14,1745,7,6,22,6.41496
0,1,286,1825,7,1655,7,5,23,5.69831
0,1,353,2347,7,2130,8,4,24,6.4493
0,1,381,2119,10,1893,7,5,27,5.27909
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,785,13402,0,13102,13,4,53,6.58667
0,1,613,8926,0,8695,13,6,45,6.47101
0,1,689,11666,0,11405,13,3,53,6.69946
0,1,842,19286,0,18959,13,4,65,7.16903
0,1,545,7340,0,7136,13,4,43,6.82212
0,1,587,7971,0,7750,13,4,42,6.44023
0,1,548,7175,0,6971,13,3,42,6.81624
0,1,665,11713,0,11461,13,6,53,6.7085
0,1,654,10025,0,9771,13,3,49,6.52641
0,1,619,8894,0,8662,13,4,42,6.96224
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,507,5889,0,5703,13,5,42,6.78706
0,1,445,4029,0,3869,13,7,31,6.66621
0,1,563,7445,0,7240,13,7,44,6.90359
0,1,585,8933,0,8720,13,7,50,7.36418
0,1,497,5883,0,5692,13,6,43,7.04113
0,1,562,6650,0,6443,13,7,40,6.64674
0,1,480,5394,0,5213,13,6,40,7.02584
0,1,516,6569,0,6375,13,6,44,6.8991
0,1,522,6148,0,5957,13,6,44,6.70891
0,1,603,7265,0,7039,13,7,43,7.20332
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,444,4389,5,4158,9,4,33,7.60752
0,1,482,5822,3,5559,9,3,38,7.82428
0,1,354,2320,1,2138,7,3,25,6.6901
0,1,472,5278,1,5029,10,4,34,7.97587
0,1,710,16831,3,16415,7,4,76,8.86724
0,1,415,2270,1,2055,8,4,27,6.37039
0,1,422,3592,2,3373,9,4,30,6.25736
0,1,418,3174,9,2950,9,4,27,7.25098
0,1,531,6529,1,6250,10,4,41,6.72793
0,1,430,4645,3,4416,9,4,31,8.19266
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,430,4395,1,4165,9,6,37,7.82978
0,1,382,3803,3,3599,9,6,33,8.06303
0,1,370,2895,1,2699,7,4,28,6.8661
0,1,398,3352,3,3144,10,6,30,8.13468
0,1,663,11581,8,11210,7,4,61,9.19047
0,1,314,1618,3,1456,8,5,25,6.55767
0,1,381,3035,29,2805,9,6,28,6.43096
0,1,374,2823,9,2618,9,4,29,7.46585
0,1,459,5634,4,5387,10,6,41,6.94399
0,1,404,4611,0,4389,9,4,34,8.47389
