n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,0,257.1,0,inf,10975.8,16.5,11765.3,7.6,4.1,12001.5,0,inf,1581
50,40,1,2,0,256.4,0,inf,10660.3,16,11610.8,7.5,5.5,11843.7,0,inf,1574
50,40,2,1,0,356,0,inf,27809.7,0.1,28564.3,13,4.6,28821.7,0,inf,2570
50,40,2,2,0,330.9,0,inf,22497.2,0.1,22603.5,13,6.7,22836,0,inf,2319
50,40,3,1,0,276.6,0,inf,13691.7,5.7,15288.9,8.7,4.4,15522.3,0,inf,1776
50,40,3,2,0,264.1,0,inf,11363.5,5.2,13124.7,8.7,5.1,13342.6,0,inf,1651
50,60,1,1,0,326.8,0,inf,20939.7,23.4,22421.1,7.6,3.8,22748.3,0,inf,2278
50,60,1,2,0,309.7,0,inf,17442.5,20.2,19082.6,7.5,5.2,19383.4,0,inf,2107
50,60,2,1,0,483.2,0,inf,61389.4,0.1,62763.1,13,4.1,63147.1,0,inf,3842
50,60,2,2,0,393.1,0,inf,35149.1,0,36104.7,13,6.4,36402,0,inf,2941
50,60,3,1,0,356.7,0,inf,27043,9.9,30522.9,8.7,3.8,30854.8,0,inf,2577
50,60,3,2,0,312.1,0,inf,17847.9,8.9,21513,8.7,5.1,21791.8,0,inf,2131
