Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,276,13307,22,13035,8,4,177,4.41862
0,1,259,12471,20,12230,7,4,160,4.18862
0,1,343,25512,21,25169,8,4,244,4.02156
0,1,231,8048,23,7844,7,5,132,3.77283
0,1,282,16944,12,16678,9,4,183,4.74864
0,1,230,8876,12,8668,8,5,131,4.21906
0,1,221,6973,15,6785,7,5,122,4.14756
0,1,235,8721,14,8515,7,4,136,3.71742
0,1,268,12804,17,12560,8,3,169,4.19338
0,1,226,6359,9,6169,7,3,127,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,271,12385,9,12138,8,6,172,4.57116
0,1,252,11005,15,10776,7,5,153,4.29939
0,1,340,24889,27,24549,7,6,241,4.15324
0,1,240,8940,20,8725,7,6,141,3.87614
0,1,290,18484,14,18210,9,6,191,4.9214
0,1,253,12045,21,11815,8,6,154,4.3735
0,1,244,9020,14,8803,7,5,145,4.29007
0,1,184,4038,10,3893,7,6,85,3.81082
0,1,243,9617,19,9393,8,4,144,4.30992
0,1,247,8014,11,7806,7,5,148,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,336,24866,0,24630,13,5,237,4.39602
0,1,348,27062,0,26811,13,6,249,4.31946
0,1,356,27546,0,27289,13,4,257,4.47354
0,1,438,49771,1,49436,13,4,339,4.78405
0,1,323,21499,0,21269,13,4,224,4.55497
0,1,345,26408,0,26161,13,5,246,4.30198
0,1,328,22196,0,21974,13,5,229,4.55049
0,1,391,36406,0,36108,13,5,292,4.47888
0,1,321,20364,0,20137,13,3,222,4.35786
0,1,374,32099,0,31828,13,5,275,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,335,23954,0,23717,13,6,236,4.54635
0,1,313,19920,0,19707,13,8,214,4.46165
0,1,316,19799,0,19584,13,7,217,4.6175
0,1,342,25191,0,24946,13,7,243,4.92388
0,1,310,18368,0,18158,13,6,211,4.71539
0,1,340,24888,0,24648,13,7,241,4.45106
0,1,312,18844,0,18632,13,7,213,4.70642
0,1,348,26021,1,25765,13,7,249,4.62326
0,1,320,19580,0,19361,13,6,221,4.48902
0,1,373,31795,0,31517,13,6,274,4.82826
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,268,13422,6,13208,9,3,169,5.08034
0,1,274,15869,4,15641,9,4,175,5.22798
0,1,225,8170,2,7997,7,5,126,4.46558
0,1,258,12930,5,12713,10,4,159,5.31993
0,1,420,42012,5,41620,7,4,321,5.92404
0,1,247,7477,4,7282,8,5,148,4.25806
0,1,257,11381,3,11168,9,5,158,4.17954
0,1,249,10241,11,10027,9,6,150,4.83938
0,1,308,18659,4,18392,10,5,209,4.49456
0,1,260,15062,13,14841,9,3,161,5.47052
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,255,11916,6,11710,9,6,156,5.23148
0,1,256,13332,4,13120,9,6,157,5.39396
0,1,234,8729,4,8541,7,5,135,4.58144
0,1,273,13894,2,13673,10,5,174,5.43713
0,1,401,35962,13,35589,7,5,302,6.13164
0,1,193,3269,3,3125,8,4,94,4.383
0,1,230,7646,4,7473,9,5,131,4.30051
0,1,260,10645,2,10426,9,4,161,4.99433
0,1,270,12705,7,12488,10,6,171,4.64467
0,1,269,15328,7,15102,9,5,170,5.67654
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,350,24798,18,24442,8,4,251,6.6136
0,1,321,22019,36,21694,7,4,222,6.26699
0,1,440,48228,36,47756,8,3,341,6.01858
0,1,295,16010,27,15722,7,4,196,5.65172
0,1,361,32196,24,31822,9,4,262,7.10603
0,1,314,20545,17,20234,8,4,215,6.31876
0,1,289,14408,26,14129,7,3,190,6.21879
