n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,0,184.7,0,inf,3750.27,2.7,3925.6,7.6,4.1,4062.5,0,inf,857
50,40,1,2,0,200.9,0,inf,4752.7,0.9,5041.8,7.5,5.5,5193.3,0,inf,1019
50,40,2,1,0,222.9,0,inf,6790.93,0,6832.3,13,4.6,6958.7,0,inf,1239
50,40,2,2,0,248.5,0,inf,9355.62,0,9357.9,13,6.7,9506.2,0,inf,1495
50,40,3,1,0,196.5,0,inf,4458.51,0.1,4869.5,8.7,4.4,5004,0,inf,975
50,40,3,2,0,210.7,0,inf,5553.1,0.7,6117.6,8.7,5.1,6266.9,0,inf,1117
50,60,1,1,0,217,0,inf,5898.65,1,6157,7.6,3.8,6330.2,0,inf,1180
50,60,1,2,0,232.6,0,inf,7217,1.5,7666.9,7.5,5.2,7855.1,0,inf,1336
50,60,2,1,0,281.1,0,inf,12736.1,0.1,12945.3,13,4.1,13127.9,0,inf,1821
50,60,2,2,0,272.2,0,inf,11697.3,0,12067,13,6.4,12236,0,inf,1732
50,60,3,1,0,240.8,0,inf,7989.76,0.5,8784.1,8.7,3.8,8966.2,0,inf,1418
50,60,3,2,0,236.9,0,inf,7323.03,0.3,8559,8.7,5.1,8731.7,0,inf,1379
