Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,197,4926,11,4770,8,4,98,4.41862
0,1,203,6044,9,5873,7,4,104,4.18862
0,1,218,6657,2,6482,8,4,119,4.02156
0,1,167,2600,2,2485,7,5,68,3.77283
0,1,204,6030,1,5871,9,4,105,4.74864
0,1,172,3198,1,3081,8,5,73,4.21906
0,1,172,2834,0,2710,7,5,73,4.14756
0,1,158,2222,0,2123,7,4,59,3.71742
0,1,185,3799,1,3662,8,3,86,4.19338
0,1,171,2315,0,2199,7,3,72,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,215,5839,2,5675,8,6,116,4.57116
0,1,208,5818,1,5657,7,5,109,4.29939
0,1,241,9168,3,8967,7,6,142,4.15324
0,1,187,3838,0,3701,7,6,88,3.87614
0,1,227,8223,0,8044,9,6,128,4.9214
0,1,198,5043,1,4891,8,6,99,4.3735
0,1,202,4642,0,4491,7,5,103,4.29007
0,1,149,1793,0,1700,7,6,50,3.81082
0,1,188,4048,2,3910,8,4,89,4.30992
0,1,194,3521,0,3382,7,5,95,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,213,6116,0,5994,13,5,114,4.39602
0,1,205,5562,0,5458,13,6,106,4.31946
0,1,229,7340,0,7212,13,4,130,4.47354
0,1,263,11301,0,11136,13,4,164,4.78405
0,1,213,5921,0,5801,13,4,114,4.55497
0,1,217,6440,0,6320,13,5,118,4.30198
0,1,206,5231,0,5116,13,5,107,4.55049
0,1,234,7955,0,7819,13,5,135,4.47888
0,1,219,6169,0,6044,13,3,120,4.35786
0,1,230,7552,0,7423,13,5,131,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,250,9738,0,9592,13,6,151,4.54635
0,1,216,6513,0,6393,13,8,117,4.46165
0,1,240,8511,0,8374,13,7,141,4.6175
0,1,258,10563,0,10406,13,7,159,4.92388
0,1,239,8363,0,8219,13,6,140,4.71539
0,1,249,9602,0,9460,13,7,150,4.45106
0,1,252,9589,0,9443,13,7,153,4.70642
0,1,274,12366,0,12191,13,7,175,4.62326
0,1,238,8022,0,7876,13,6,139,4.48902
0,1,269,11795,0,11625,13,6,170,4.82826
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,193,4426,1,4295,9,3,94,5.08034
0,1,194,5287,0,5153,9,4,95,5.22798
0,1,175,3255,0,3144,7,5,76,4.46558
0,1,204,5696,0,5557,10,4,105,5.31993
0,1,280,12545,0,12311,7,4,181,5.92404
0,1,163,1896,0,1802,8,5,64,4.25806
0,1,183,3650,0,3535,9,5,84,4.17954
0,1,182,3397,0,3278,9,6,83,4.83938
0,1,206,5374,0,5233,10,5,107,4.49456
0,1,185,4514,0,4387,9,3,86,5.47052
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,209,5659,0,5523,9,6,110,5.23148
0,1,196,5424,0,5287,9,6,97,5.39396
0,1,191,4298,1,4171,7,5,92,4.58144
0,1,221,6953,0,6801,10,5,122,5.43713
0,1,290,14227,1,13995,7,5,191,6.13164
0,1,160,1761,2,1663,8,4,61,4.383
0,1,183,3801,2,3677,9,5,84,4.30051
0,1,222,6627,0,6458,9,4,123,4.99433
0,1,217,6444,1,6283,10,6,118,4.64467
0,1,218,7475,0,7318,9,5,119,5.67654
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,237,7560,1,7368,8,4,138,6.6136
0,1,224,7148,2,6963,7,4,125,6.26699
0,1,256,10261,3,10035,8,3,157,6.01858
0,1,194,4235,1,4086,7,4,95,5.65172
0,1,251,10475,1,10260,9,4,152,7.10603
0,1,200,5024,0,4873,8,4,101,6.31876
0,1,209,5013,1,4848,7,3,110,6.21879
0,1,183,3602,0,3472,7,5,84,5.56458
0,1,221,6430,0,6251,8,3,122,6.27963
0,1,195,3554,1,3414,7,4,96,5.12581
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,249,8600,0,8396,8,5,150,6.82613
0,1,238,8441,0,8243,7,5,139,6.43147
0,1,270,12416,8,12185,7,5,171,6.21043
0,1,218,6026,1,5853,7,5,119,5.80003
0,1,271,13175,2,12946,9,6,172,7.35444
0,1,225,7363,3,7173,8,6,126,6.52763
0,1,240,7714,0,7516,7,6,141,6.41496
0,1,163,2494,0,2390,7,5,64,5.69831
0,1,214,5785,1,5617,8,4,115,6.4493
0,1,238,6537,0,6350,7,5,139,5.27909
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,293,14769,0,14575,13,4,194,6.58667
0,1,267,11484,0,11313,13,6,168,6.47101
0,1,288,13852,1,13661,13,3,189,6.69946
0,1,343,22349,0,22099,13,4,244,7.16903
0,1,257,9899,0,9742,13,4,158,6.82212
0,1,265,11079,0,10915,13,4,166,6.44023
0,1,254,9427,0,9265,13,3,155,6.81624
0,1,293,14645,0,14458,13,6,194,6.7085
0,1,276,11648,0,11472,13,3,177,6.52641
0,1,275,12127,0,11953,13,4,176,6.96224
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,286,13973,0,13801,13,5,187,6.78706
0,1,199,5042,0,4938,13,7,100,6.66621
0,1,279,13104,0,12933,13,7,180,6.90359
0,1,319,18392,0,18182,13,7,220,7.36418
0,1,283,12866,0,12684,13,6,184,7.04113
0,1,282,13500,0,13320,13,7,183,6.64674
0,1,261,10365,0,10208,13,6,162,7.02584
0,1,270,11577,0,11400,13,6,171,6.8991
0,1,260,10030,0,9871,13,6,161,6.70891
0,1,283,13511,0,13333,13,7,184,7.20332
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,236,8071,1,7896,9,4,137,7.60752
0,1,244,9856,0,9674,9,3,145,7.82428
0,1,208,5489,0,5341,7,3,109,6.6901
0,1,260,10940,1,10739,10,4,161,7.97587
0,1,349,21926,2,21621,7,4,250,8.86724
0,1,194,3466,0,3335,8,4,95,6.37039
0,1,215,6017,0,5868,9,4,116,6.25736
0,1,222,6245,0,6075,9,4,123,7.25098
0,1,251,9256,0,9070,10,4,152,6.72793
0,1,229,8396,1,8222,9,4,130,8.19266
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,254,9934,1,9745,9,6,155,7.82978
0,1,219,7359,0,7205,9,6,120,8.06303
0,1,221,6692,0,6531,7,4,122,6.8661
0,1,225,7354,1,7191,10,6,126,8.13468
0,1,368,25559,0,25249,7,4,269,9.19047
0,1,180,2304,0,2193,8,5,81,6.55767
0,1,214,5456,1,5314,9,6,115,6.43096
0,1,225,6074,0,5912,9,4,126,7.46585
0,1,214,5927,0,5783,10,6,115,6.94399
0,1,249,10658,0,10467,9,4,150,8.47389
