n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,0,272.4,0,inf,12128.7,9.2,12976.2,7.6,4.1,13229.8,0,inf,1734
50,40,1,2,0,270.3,0,inf,11477.8,11.3,12615,7.5,5.5,12864.1,0,inf,1713
50,40,2,1,0,376.2,0,inf,30275,0,31293.5,13,4.6,31568.6,0,inf,2772
50,40,2,2,0,359.7,0,inf,26273.9,0,26379.4,13,6.7,26637.6,0,inf,2607
50,40,3,1,0,293.7,0,inf,15155.4,4.3,16286.5,8.7,4.4,16533.9,0,inf,1947
50,40,3,2,0,280.1,0,inf,12573.1,4.1,14315.2,8.7,5.1,14550.5,0,inf,1811
50,60,1,1,0,352.8,0,inf,24440.8,24.6,25829,7.6,3.8,26183.8,0,inf,2538
50,60,1,2,0,327.5,0,inf,19191.5,20.6,21519.9,7.5,5.2,21838.2,0,inf,2285
50,60,2,1,0,515.8,0,inf,69045.4,0.1,70838.5,13,4.1,71245.8,0,inf,4168
50,60,2,2,0,429.1,0,inf,41550.2,0.2,42867.6,13,6.4,43192.1,0,inf,3301
50,60,3,1,0,376.4,0,inf,29720,7,34282,8.7,3.8,34630.4,0,inf,2774
50,60,3,2,0,329.7,0,inf,19308,6.4,23899.6,8.7,5.1,24193.2,0,inf,2307
