Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,313,17434,12,17133,8,4,214,4.41862
0,1,280,14846,15,14576,7,4,181,4.18862
0,1,339,23224,10,22886,8,4,240,4.02156
0,1,248,9245,12,9018,7,5,149,3.77283
0,1,318,21670,4,21366,9,4,219,4.74864
0,1,248,10469,8,10244,8,5,149,4.21906
0,1,222,6561,2,6365,7,5,123,4.14756
0,1,240,8898,12,8685,7,4,141,3.71742
0,1,270,12407,10,12155,8,3,171,4.19338
0,1,246,7544,7,7334,7,3,147,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,297,15014,11,14738,8,6,198,4.57116
0,1,261,11277,11,11039,7,5,162,4.29939
0,1,367,28872,20,28498,7,6,268,4.15324
0,1,252,9554,15,9322,7,6,153,3.87614
0,1,305,19487,11,19195,9,6,206,4.9214
0,1,269,12859,5,12604,8,6,170,4.3735
0,1,247,8513,14,8290,7,5,148,4.29007
0,1,195,4749,10,4589,7,6,96,3.81082
0,1,245,9205,10,8987,8,4,146,4.30992
0,1,265,9111,6,8888,7,5,166,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,354,26987,0,26742,13,5,255,4.39602
0,1,374,30793,0,30521,13,6,275,4.31946
0,1,402,35291,0,34987,13,4,303,4.47354
0,1,479,58263,0,57893,13,4,380,4.78405
0,1,340,22843,0,22600,13,4,241,4.55497
0,1,367,29207,0,28944,13,5,268,4.30198
0,1,343,24097,0,23854,13,5,244,4.55049
0,1,382,32402,0,32128,13,5,283,4.47888
0,1,328,20711,0,20470,13,3,229,4.35786
0,1,393,35092,0,34796,13,5,294,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,343,23411,0,23178,13,6,244,4.54635
0,1,340,22922,0,22676,13,8,241,4.46165
0,1,371,28218,0,27951,13,7,272,4.6175
0,1,365,28189,0,27920,13,7,266,4.92388
0,1,343,22939,0,22688,13,6,244,4.71539
0,1,369,28659,0,28399,13,7,270,4.45106
0,1,328,20310,0,20083,13,7,229,4.70642
