Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,198,2753,3,2621,8,4,2.2341
0,0,933,538,0,0,8,4,2.2341
0,1,186,2859,12,2724,7,3,2.10609
0,0,933,649,0,0,7,3,2.10609
0,1,245,5538,6,5358,8,3,2.02986
0,0,933,593,0,0,8,3,2.02986
0,1,193,2191,3,2060,7,5,1.89856
0,0,933,499,0,0,7,5,1.89856
0,1,197,3340,2,3212,9,4,2.39766
0,0,933,632,0,0,9,4,2.39766
0,1,174,1754,0,1645,8,4,2.12632
0,0,933,574,0,0,8,4,2.12632
0,1,168,1368,0,1270,7,4,2.08913
0,0,933,506,0,0,7,4,2.08913
0,1,168,1172,1,1078,7,5,1.86549
0,0,933,575,0,0,7,5,1.86549
0,1,178,2078,3,1956,8,3,2.11347
0,0,933,510,0,0,8,3,2.11347
0,1,170,1103,1,1011,7,4,1.72768
0,0,933,429,0,0,7,4,1.72768
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,200,2336,1,2211,8,5,2.30992
0,0,933,550,0,0,8,5,2.30992
0,1,170,1476,2,1378,7,5,2.16385
0,0,933,606,0,0,7,5,2.16385
0,1,223,3818,2,3666,7,4,2.091
0,0,933,587,0,0,7,4,2.091
0,1,170,1227,0,1131,7,5,1.95352
0,0,933,548,0,0,7,5,1.95352
0,1,202,3051,1,2921,9,6,2.49761
0,0,933,665,0,0,9,6,2.49761
0,1,194,2253,0,2135,8,5,2.21487
0,0,933,630,0,0,8,5,2.21487
0,1,172,1245,1,1144,7,5,2.17188
0,0,933,547,0,0,7,5,2.17188
0,1,163,1079,2,985,7,5,1.92283
0,0,933,545,0,0,7,5,1.92283
0,1,178,1533,1,1426,8,5,2.18
0,0,933,557,0,0,8,5,2.18
0,1,170,993,0,906,7,4,1.78528
0,0,933,467,0,0,7,4,1.78528
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,282,8069,0,7922,13,5,2.21773
0,0,933,527,0,0,13,5,2.21773
0,1,233,5125,0,5011,13,7,2.17712
0,0,933,493,0,0,13,7,2.17712
0,1,235,4856,0,4743,13,4,2.2539
0,0,933,480,0,0,13,4,2.2539
0,1,262,6374,0,6252,13,3,2.40469
0,0,933,495,0,0,13,3,2.40469
0,1,209,3271,0,3184,13,5,2.29575
0,0,933,473,0,0,13,5,2.29575
0,1,221,4130,0,4030,13,4,2.1711
0,0,933,504,0,0,13,4,2.1711
0,1,207,2832,0,2749,13,5,2.2951
0,0,933,443,0,0,13,5,2.2951
0,1,235,5072,0,4959,13,5,2.25429
0,0,933,481,0,0,13,5,2.25429
0,1,220,4023,0,3923,13,3,2.19357
0,0,933,455,0,0,13,3,2.19357
0,1,256,6929,0,6804,13,5,2.35131
0,0,933,469,0,0,13,5,2.35131
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,283,7204,0,7067,13,6,2.30268
0,0,933,543,0,0,13,6,2.30268
0,1,234,3762,0,3661,13,6,2.25812
0,0,933,521,0,0,13,6,2.25812
0,1,240,4245,0,4141,13,6,2.3398
0,0,933,506,0,0,13,6,2.3398
0,1,262,6151,0,6024,13,6,2.48555
0,0,933,523,0,0,13,6,2.48555
0,1,211,2653,0,2571,13,6,2.39392
0,0,933,518,0,0,13,6,2.39392
0,1,280,6906,0,6775,13,6,2.2613
0,0,933,563,0,0,13,6,2.2613
0,1,224,3557,0,3454,13,6,2.38454
0,0,933,490,0,0,13,6,2.38454
0,1,235,4132,0,4034,13,6,2.33941
0,0,933,515,0,0,13,6,2.33941
0,1,223,3521,0,3428,13,6,2.27346
0,0,933,491,0,0,13,6,2.27346
0,1,271,6776,0,6648,13,5,2.45006
0,0,933,503,0,0,13,5,2.45006
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,180,2047,0,1951,9,6,2.55842
0,0,933,451,0,0,9,6,2.55842
0,1,196,3251,1,3132,9,4,2.63161
0,0,933,545,0,0,9,4,2.63161
0,1,173,1641,0,1552,7,4,2.24636
0,0,933,478,0,0,7,4,2.24636
0,1,199,3082,0,2963,10,3,2.67259
0,0,933,537,0,0,10,3,2.67259
0,1,298,10105,0,9899,7,4,2.99655
0,0,933,503,0,0,7,4,2.99655
0,1,173,961,0,876,8,5,2.13535
0,0,933,356,0,0,8,5,2.13535
0,1,182,1853,0,1759,9,7,2.09856
0,0,933,446,0,0,9,7,2.09856
0,1,183,1497,0,1401,9,5,2.42694
0,0,933,403,0,0,9,5,2.42694
0,1,228,4436,0,4301,10,5,2.27137
0,0,933,450,0,0,10,5,2.27137
0,1,177,2344,0,2248,9,3,2.74884
0,0,933,516,0,0,9,3,2.74884
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,188,2025,0,1931,9,6,2.64497
0,0,933,479,0,0,9,6,2.64497
0,1,207,3409,0,3291,8,4,2.72656
0,0,933,590,0,0,8,4,2.72656
0,1,172,1409,0,1330,7,5,2.31251
0,0,933,517,0,0,7,5,2.31251
0,1,191,2538,0,2435,10,5,2.73022
0,0,933,571,0,0,10,5,2.73022
0,1,345,13836,2,13594,8,5,3.12087
0,0,933,515,0,0,8,5,3.12087
0,1,167,874,0,794,7,4,2.20013
0,0,933,393,0,0,7,4,2.20013
0,1,179,1502,0,1414,9,5,2.16175
0,0,933,480,0,0,9,5,2.16175
0,1,205,2962,0,2843,9,4,2.50973
0,0,933,449,0,0,9,4,2.50973
0,1,248,4372,0,4232,10,6,2.35752
0,0,933,496,0,0,10,6,2.35752
0,1,182,2264,0,2168,9,5,2.85889
0,0,933,548,0,0,9,5,2.85889
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,241,3107,2,2952,8,4,4.41862
0,0,1913,1168,0,0,8,4,4.41862
0,1,224,3186,0,3042,7,4,4.18862
0,0,1913,1353,0,0,7,4,4.18862
0,1,276,4931,2,4743,8,4,4.02156
0,0,1913,1323,0,0,8,4,4.02156
0,1,200,1685,0,1565,7,5,3.77283
0,0,1913,1208,0,0,7,5,3.77283
0,1,245,4356,0,4198,9,4,4.74864
0,0,1913,1465,0,0,9,4,4.74864
0,1,200,1872,1,1754,8,5,4.21906
0,0,1913,1289,0,0,8,5,4.21906
0,1,202,1744,2,1623,7,5,4.14756
0,0,1913,1131,0,0,7,5,4.14756
0,1,188,1247,2,1144,7,4,3.71742
0,0,1913,1209,0,0,7,4,3.71742
0,1,211,2209,0,2080,8,3,4.19338
0,0,1913,1199,0,0,8,3,4.19338
0,1,205,1509,1,1394,7,3,3.42346
0,0,1913,967,0,0,7,3,3.42346
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,243,2995,2,2846,8,6,4.57116
0,0,1913,1278,0,0,8,6,4.57116
0,1,217,2203,3,2071,7,5,4.29939
0,0,1913,1448,0,0,7,5,4.29939
0,1,261,4567,2,4395,7,6,4.15324
0,0,1913,1389,0,0,7,6,4.15324
0,1,192,1334,0,1225,7,6,3.87614
0,0,1913,1296,0,0,7,6,3.87614
0,1,264,4115,0,3950,9,6,4.9214
0,0,1913,1543,0,0,9,6,4.9214
0,1,212,2054,2,1929,8,6,4.3735
0,0,1913,1391,0,0,8,6,4.3735
0,1,220,1800,1,1670,7,5,4.29007
0,0,1913,1246,0,0,7,5,4.29007
0,1,168,843,0,755,7,6,3.81082
0,0,1913,1311,0,0,7,6,3.81082
0,1,208,1779,1,1658,8,4,4.30992
0,0,1913,1289,0,0,8,4,4.30992
0,1,214,1445,1,1330,7,5,3.53775
0,0,1913,1045,0,0,7,5,3.53775
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,268,4301,0,4192,13,5,4.39602
0,0,1913,1274,0,0,13,5,4.39602
0,1,246,3639,0,3538,13,6,4.31946
0,0,1913,1257,0,0,13,6,4.31946
0,1,280,5806,0,5680,13,4,4.47354
0,0,1913,1212,0,0,13,4,4.47354
0,1,337,8816,0,8663,13,4,4.78405
0,0,1913,1257,0,0,13,4,4.78405
0,1,254,4156,0,4049,13,4,4.55497
0,0,1913,1208,0,0,13,4,4.55497
0,1,264,5126,0,5004,13,5,4.30198
0,0,1913,1263,0,0,13,5,4.30198
0,1,244,3420,0,3316,13,5,4.55049
0,0,1913,1145,0,0,13,5,4.55049
0,1,279,6077,0,5948,13,5,4.47888
0,0,1913,1215,0,0,13,5,4.47888
0,1,262,4454,0,4343,13,3,4.35786
0,0,1913,1160,0,0,13,3,4.35786
0,1,276,6203,0,6072,13,5,4.65353
0,0,1913,1164,0,0,13,5,4.65353
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,274,4763,0,4645,13,6,4.54635
0,0,1913,1393,0,0,13,6,4.54635
0,1,244,3075,0,2980,13,8,4.46165
0,0,1913,1363,0,0,13,8,4.46165
0,1,278,4960,0,4845,13,7,4.6175
0,0,1913,1292,0,0,13,7,4.6175
0,1,279,5297,0,5174,13,7,4.92388
0,0,1913,1348,0,0,13,7,4.92388
0,1,249,3590,0,3490,13,6,4.71539
0,0,1913,1307,0,0,13,6,4.71539
0,1,278,4238,0,4125,13,7,4.45106
0,0,1913,1371,0,0,13,7,4.45106
0,1,280,4424,0,4307,13,7,4.70642
0,0,1913,1213,0,0,13,7,4.70642
0,1,281,5045,0,4926,13,7,4.62326
0,0,1913,1276,0,0,13,7,4.62326
0,1,273,4295,0,4177,13,6,4.48902
0,0,1913,1214,0,0,13,6,4.48902
