n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,20,1,1,0,227.8,933,24.4159,3.81397,2.4,2146.4,7.8,3.8,2287.8,571.2,400.525
50,20,1,2,0,203.6,933,21.8221,2.20798,0.6,1244.8,7.6,5,1357.4,565.8,239.908
50,20,2,1,0,279.4,933,29.9464,7.61157,0,3981,13,4.8,4092.6,518.2,789.772
50,20,2,2,0,258.6,933,27.717,4.75455,0,2886.6,13,6,2988.4,572.8,521.718
50,20,3,1,0,232.2,933,24.8875,4.06077,0,2569,8.4,4.2,2694.8,544.6,494.822
50,20,3,2,0,238.6,933,25.5734,3.98389,0.2,3163.2,8.4,5,3291.2,556.4,591.517
50,40,1,1,0,262.6,1913,13.7271,1.59597,2.8,2204.2,7.8,4.2,2364.8,1383.2,170.966
50,40,1,2,0,267,1913,13.9571,1.32938,2.4,2043.4,7.6,5.8,2202.8,1519.6,144.959
50,40,2,1,0,306.2,1913,16.0063,2.8543,0,3697.6,13,4.6,3819,1291,295.817
50,40,2,2,0,294.4,1913,15.3894,1.94073,0,2930.2,13,6.8,3042.6,1527.8,199.149
50,40,3,1,0,261.8,1913,13.6853,1.76731,1.2,2618.2,8.4,4,2759.8,1339.8,205.986
50,40,3,2,0,271.8,1913,14.2081,1.59285,0.6,2409.2,8.4,5.4,2555.2,1474.8,173.257
50,60,1,1,0,310,2893,10.7155,1.22425,10.8,3085.6,7.8,3.8,3286.6,2534,129.7
50,60,1,2,0,305.6,2893,10.5634,0.91769,6,2619.2,7.6,5.2,2809.8,2754.6,102.004
50,60,2,1,0,397.2,2893,13.7297,2.64978,0,6972.6,13,4.2,7142.2,2554.8,279.56
50,60,2,2,0,332,2893,11.476,1.28044,0,3417.8,13,6.4,3542.2,2591,136.712
50,60,3,1,0,334.6,2893,11.5658,1.78273,1.2,4860.2,8.4,3.6,5051.6,2370.4,213.112
50,60,3,2,0,321.2,2893,11.1027,1.2213,2,3398.6,8.4,5.2,3574.8,2572,138.989
50,80,1,1,0,357.2,3873,9.22282,1.1808,9.2,4221.6,7.8,3.6,4453.4,3560.2,125.088
50,80,1,2,0,341.8,3873,8.8252,0.825809,7.2,3229.4,7.6,5.2,3440.8,3870.4,88.9004
50,80,2,1,0,467.4,3873,12.0682,2.50309,0,9828.4,13,4.2,10034,3822.6,262.491
50,80,2,2,0,387,3873,9.99225,1.2516,0,5100.8,13,6.6,5251.4,3903.4,134.534
50,80,3,1,0,396.6,3873,10.2401,1.71452,2.6,7437.6,8.4,3,7675.4,3658.2,209.814
50,80,3,2,0,367,3873,9.47586,1.10171,2.4,4484.8,8.4,5.2,4694,3796,123.656
50,100,1,1,0,411,4853,8.46899,1.17409,29.2,6134.4,7.8,4,6419.6,5146,124.749
50,100,1,2,0,393.2,4853,8.1022,0.842948,12.8,4481.2,7.6,5.2,4731,5147.8,91.9033
50,100,2,1,0,492.8,4853,10.1545,2.01826,0,11178.4,13,4,11391.8,5186.6,219.639
50,100,2,2,0,437.6,4853,9.0171,1.16513,0,6574,13,6.6,6748.8,5396,125.07
50,100,3,1,0,449.2,4853,9.25613,1.65161,7.6,10078,8.4,4,10356.8,5012.6,206.615
50,100,3,2,0,425.4,4853,8.76571,1.16667,2.6,6592.6,8.4,5.6,6839.8,5146.4,132.905
