n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),
50,20,1,1,0,293.4,933,31.4469,1.9168,1,1020.6,7.8,3.8,1187,593.4,200.034,
50,20,1,2,0,276.2,933,29.6034,1.3997,0,743.4,7.6,5,892.2,581.8,153.352,
50,20,2,1,0,384.6,933,41.2219,3.71732,0,1944.2,13,4.8,2069,505,409.703,
50,20,2,2,0,408.4,933,43.7728,3.67126,0,2011,13,6,2144,532.6,402.554,
50,20,3,1,0,297.4,933,31.8757,2.02041,0.2,1222,8.4,4.2,1362.2,515.8,264.095,
50,20,3,2,0,319.6,933,34.2551,1.9567,0.4,1384.4,8.4,5,1535,536.8,285.954,
50,40,1,1,0,469.6,1913,24.5478,1.17519,2,1387.2,7.8,4.2,1657.8,1306.8,126.86,
50,40,1,2,0,470,1913,24.5687,0.912473,0.8,1266.6,7.6,5.8,1534.8,1497.2,102.511,
50,40,2,1,0,595.6,1913,31.1343,2.00791,0,2705,13,4.6,2905.6,1354.6,214.499,
50,40,2,2,0,562.6,1913,29.4093,1.41645,0,1868.8,13,6.8,2056.8,1451.6,141.692,
50,40,3,1,0,448.6,1913,23.4501,1.06512,0.4,1390,8.4,4,1607.4,1306.4,123.04,
50,40,3,2,0,470.2,1913,24.5792,1.01967,0.4,1350.4,8.4,5.4,1581.4,1401.4,112.844,
50,60,1,1,0,663.6,2893,22.9381,0.930926,2.4,2092,7.8,3.8,2489.2,2414.8,103.081,
50,60,1,2,0,665.6,2893,23.0073,0.741506,3.2,1841.4,7.6,5.2,2241,2581.2,86.8201,
50,60,2,1,0,976.8,2893,33.7643,2.34708,0,5624.8,13,4.2,5965.6,2382.2,250.424,
50,60,2,2,0,778.8,2893,26.9202,1.09524,0,2520.2,13,6.4,2787,2530.6,110.132,
50,60,3,1,0,661.2,2893,22.8552,0.988545,0.6,2387.2,8.4,3.6,2718,2307.6,117.785,
50,60,3,2,0,648.4,2893,22.4127,0.807814,1,1865.6,8.4,5.2,2199.2,2439.6,90.1459,
50,80,1,1,0,861.2,3873,22.236,0.832566,3.4,2798.6,7.8,3.6,3329,3585.8,92.8384,
50,80,1,2,0,805.4,3873,20.7952,0.603845,6,2086.2,7.6,5.2,2583.8,3967.6,65.1225,
50,80,2,1,0,1282.6,3873,33.1164,2.14179,0,8064.2,13,4.2,8521.2,3667.4,232.35,
50,80,2,2,0,1013.8,3873,26.1761,0.971085,0,3412.8,13,6.6,3767.4,3822.2,98.5663,
50,80,3,1,0,856.4,3873,22.1121,0.830686,0.4,3161.8,8.4,3,3609.8,3681.8,98.0444,
50,80,3,2,0,825,3873,21.3013,0.690752,1.8,2674.6,8.4,5.2,3111,3824.2,81.3503,
50,100,1,1,0,1055.8,4853,21.7556,0.800096,4.2,3757.6,7.8,4,4412.2,4959.6,88.9628,
50,100,1,2,0,987.2,4853,20.3421,0.570876,6,2577,7.6,5.2,3188.6,5186.4,61.48,
50,100,2,1,0,1384.8,4853,28.5349,1.44354,0,7451.6,13,4,7938.4,4988.8,159.124,
50,100,2,2,0,1249,4853,25.7367,0.884228,0,4481.2,13,6.6,4925.6,5500.6,89.5466,
50,100,3,1,0,1052.6,4853,21.6897,0.778601,2,4390,8.4,4,4954,5273.6,93.9396,
50,100,3,2,0,1011.4,4853,20.8407,0.621067,3,3422.8,8.4,5.6,3969,5582.4,71.0985,
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),
30,20,1,1,0,151,553,27.3056,1.00973,0,79.6,5.1,3.8,124.6,118.5,105.148,
30,20,1,2,0,153.3,553,27.7215,0.8832,0,72.3,5.1,4.1,118.1,131,90.1527,
30,20,2,1,0,248.7,553,44.9729,2.82181,0,300.3,9,4.7,348.3,112.4,309.875,
30,20,2,2,0,265.3,553,47.9747,2.71196,0,302.1,9,5.5,353.3,119.4,295.896,
30,20,3,1,0,177.3,553,32.0615,1.35662,0,107,6.7,3.8,153,108.3,141.274,
30,20,3,2,0,188.8,553,34.141,1.3097,0,113.5,6.9,4.5,162.9,118.6,137.352,
30,40,1,1,0,244.5,1133,21.5799,0.72411,0,114.3,5.1,3.4,189.7,257.4,73.6985,
30,40,1,2,0,258.3,1133,22.7979,0.670532,0,121.7,5.1,4.6,206.3,300.8,68.5838,
30,40,2,1,0,416.6,1133,36.7696,1.89859,0,450.8,9,4.6,529.7,254.1,208.461,
30,40,2,2,0,448.4,1133,39.5763,1.86523,0,461.2,9,6,546.6,268.8,203.348,
30,40,3,1,0,301.9,1133,26.6461,1.01249,0,165.9,6.7,3.6,246.1,239,102.971,
30,40,3,2,0,313.1,1133,27.6346,0.939124,0,166.4,6.9,4.7,251.6,259.4,96.9931,
50,20,1,1,0,258.2,933,27.6742,1.41855,0.4,655.4,7.6,3.9,791.5,507.9,155.838,
50,20,1,2,0,257.2,933,27.567,1.20494,0.2,577.5,7.5,4.9,713.2,545.1,130.838,
50,20,2,1,0,364.4,933,39.0568,3.40692,0,1658.8,13,4.6,1776.9,480.4,369.879,
50,20,2,2,0,406.8,933,43.6013,3.7564,0,1953.1,13,5.9,2087.3,512.2,407.517,
50,20,3,1,0,277.2,933,29.7106,1.80426,0.1,926.6,8.7,4.6,1053.1,472.1,223.067,
50,20,3,2,0,304,933,32.5831,1.82433,0.1,1082.9,8.6,4.9,1225.2,505.2,242.518,
50,40,1,1,0,415.7,1913,21.7303,0.922303,0.4,1009.4,7.6,4.1,1243.8,1224.8,101.551,
50,40,1,2,0,421.7,1913,22.0439,0.778557,1.2,905.8,7.5,5.5,1147.2,1317,87.1071,
50,40,2,1,0,581.6,1913,30.4025,1.95302,0,2317,13,4.6,2512.1,1224.4,205.17,
50,40,2,2,0,582.3,1913,30.4391,1.62508,0,1963.5,13,6.7,2159.5,1306.9,165.238,
50,40,3,1,0,430.7,1913,22.5144,1.05749,0.1,1144.9,8.7,4.4,1354,1161.3,116.593,
50,40,3,2,0,456.6,1913,23.8683,1.00102,0.1,1141.2,8.7,5.1,1365.3,1253.8,108.893,
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),
50,20,1,1,0,258.2,933,27.6742,1.38762,1.7,705.3,7.6,3.9,850.7,562,151.37,
50,20,1,2,0,257.2,933,27.567,1.19393,0.8,588.8,7.5,4.9,728.7,562.4,129.57,
50,20,2,1,0,364.4,933,39.0568,3.34649,0,1672,13,4.6,1793.1,494.1,362.902,
50,20,2,2,0,406.8,933,43.6013,3.69391,0,2003.6,13,5.9,2141.4,534.3,400.786,
50,20,3,1,0,277.2,933,29.7106,1.80393,0.1,933.1,8.7,4.6,1060.3,476.9,222.332,
50,20,3,2,0,304,933,32.5831,1.8098,0.1,1084.2,8.6,4.9,1226.8,509.6,240.738,
50,40,1,1,0,415.7,1913,21.7303,0.910921,1.1,1005.6,7.6,4.1,1240.9,1240.8,100.008,
50,40,1,2,0,421.7,1913,22.0439,0.771788,0.7,904.9,7.5,5.5,1146.3,1325.9,86.4545,
50,40,2,1,0,581.6,1913,30.4025,1.94093,0,2311.9,13,4.6,2506.2,1228.1,204.071,
50,40,2,2,0,582.3,1913,30.4391,1.60588,0,1953.1,13,6.7,2149,1318.4,163.001,
50,40,3,1,0,430.7,1913,22.5144,1.05162,0.3,1139.6,8.7,4.4,1351.2,1164.4,116.043,
50,40,3,2,0,456.6,1913,23.8683,0.997974,0.4,1137.7,8.7,5.1,1362.5,1255.5,108.523,
50,60,1,1,0,581.8,2893,20.1106,0.735366,1.4,1436.2,7.6,3.8,1782.6,2154.2,82.75,
