n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
30,20,1,1,1,29.6,553,5.35262,0.0944644,0,0,5.1,1,5.8,60.1,9.65058
30,20,1,2,1,38.4,553,6.94394,0.108808,0,0,5.1,1,7.2,64.6,11.1455
30,20,2,1,1,35.8,553,6.47378,0.0970668,0,0,9,1,3.5,35.5,9.85915
30,20,2,2,1,43,553,7.77577,0.0998249,0,0,9,1,4,37.1,10.7817
30,20,3,1,1,28.9,553,5.22604,0.0789811,0,0,6.8,1,4.1,49.7,8.2495
30,20,3,2,1,36,553,6.50995,0.104866,0,0,6.7,1,5.9,53.9,10.9462
30,40,1,1,1,38.9,1133,3.43336,0.0590089,0,0,5.1,1,7,117,5.98291
30,40,1,2,1,45.5,1133,4.01589,0.0615778,0,0,5.1,1,8.2,130.9,6.26432
30,40,2,1,1,46.8,1133,4.13063,0.0565973,0,0,9,1,3.9,67.8,5.75221
30,40,2,2,1,49.4,1133,4.36011,0.0488853,0,0,9,1,3.9,74.9,5.20694
30,40,3,1,1,35.6,1133,3.1421,0.0487844,0,0,6.8,1,5.4,101.7,5.30973
30,40,3,2,1,47.4,1133,4.18358,0.0558465,0,0,6.7,1,6.7,111.4,6.01436
50,20,1,1,1,37.4,933,4.00857,0.0639099,0,0,7.5,1,12.2,189,6.45503
50,20,1,2,1,51.6,933,5.53055,0.0836462,0,0,7.5,1,17.4,203.3,8.55878
50,20,2,1,1,48.6,933,5.209,0.0744182,0,0,13,1,8,105.8,7.56144
50,20,2,2,1,47.6,933,5.10182,0.0674576,0,0,13,1,7.8,115.3,6.76496
50,20,3,1,1,47.9,933,5.13398,0.0820775,0,0,9,1,13.4,157.9,8.48638
50,20,3,2,1,42.8,933,4.58735,0.0693318,0,0,8.9,1,12.3,171.8,7.15949
50,40,1,1,1,49,1913,2.56142,0.0418857,0,0,7.6,1,16.4,382.6,4.28646
50,40,1,2,1,54.9,1913,2.86984,0.0439069,0,0,7.5,1,18.5,414.4,4.46429
50,40,2,1,1,53.9,1913,2.81756,0.039428,0,0,13,1,8.7,216.8,4.01292
50,40,2,2,1,58.6,1913,3.06325,0.0402317,0,0,13,1,9.6,237.1,4.04892
50,40,3,1,1,59.1,1913,3.08939,0.0526006,0,0,9,1,17.3,322.5,5.36434
50,40,3,2,1,53.7,1913,2.80711,0.0441655,0,0,8.9,1,15.7,349,4.49857
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,20,1,1,1,37.4,933,4.00857,0.0662114,0,0,7.5,1,13.3,197,6.75127
50,20,1,2,1,51.6,933,5.53055,0.0832574,0,0,7.5,1,18.4,214.7,8.5701
50,20,2,1,1,48.6,933,5.209,0.0732616,0,0,13,1,8.2,110.2,7.44102
50,20,2,2,1,47.6,933,5.10182,0.069404,0,0,13,1,8.3,119.1,6.96893
50,20,3,1,1,47.9,933,5.13398,0.0897071,0,0,9,1,15.2,162.7,9.34235
50,20,3,2,1,42.8,933,4.58735,0.0693024,0,0,8.9,1,12.6,173.8,7.24971
50,40,1,1,1,49,1913,2.56142,0.0441846,0,0,7.6,1,17.6,389.4,4.51977
50,40,1,2,1,54.9,1913,2.86984,0.0444277,0,0,7.5,1,19.1,423.3,4.51217
50,40,2,1,1,53.9,1913,2.81756,0.0416458,0,0,13,1,9.2,217.9,4.22212
50,40,2,2,1,58.6,1913,3.06325,0.0408836,0,0,13,1,9.8,238,4.11765
50,40,3,1,1,59.1,1913,3.08939,0.0549151,0,0,9,1,18.1,321.1,5.63687
50,40,3,2,1,53.7,1913,2.80711,0.0463772,0,0,8.9,1,16.4,349,4.69914
50,60,1,1,1,57.3,2893,1.98064,0.0344844,0,0,7.6,1,20.6,587.4,3.50698
50,60,1,2,1,64.9,2893,2.24335,0.0365858,0,0,7.5,1,23.9,636.7,3.75373
50,60,2,1,1,71.4,2893,2.46803,0.0364415,0,0,13,1,12.4,331.6,3.73945
50,60,2,2,1,71.7,2893,2.4784,0.0337768,0,0,13,1,12.4,362.3,3.42258
50,60,3,1,1,69.7,2893,2.40926,0.0413719,0,0,9,1,21,488.3,4.30063
50,60,3,2,1,66.3,2893,2.29174,0.0377159,0,0,8.9,1,20.2,531.6,3.79985
50,80,1,1,1,68.4,3873,1.76607,0.0310751,0,0,7.6,1,25,789,3.16857
50,80,1,2,1,71.1,3873,1.83579,0.0298789,0,0,7.5,1,25.8,860.9,2.99686
50,80,2,1,1,80.8,3873,2.08624,0.0310268,0,0,13,1,14,444.9,3.14677
50,80,2,2,1,82.2,3873,2.12239,0.0287664,0,0,13,1,14.1,487.2,2.89409
50,80,3,1,1,81.5,3873,2.10431,0.0371467,0,0,9,1,25,653.8,3.8238
50,80,3,2,1,81.9,3873,2.11464,0.0357658,0,0,8.9,1,26.2,722.7,3.62529
50,100,1,1,1,73.7,4853,1.51865,0.0275136,0,0,7.6,1,28.3,1010.6,2.80032
50,100,1,2,1,83,4853,1.71028,0.0288015,0,0,7.5,1,31.7,1079,2.93791
50,100,2,1,1,91,4853,1.87513,0.0278824,0,0,13,1,16,558.3,2.86584
50,100,2,2,1,94.9,4853,1.95549,0.0270198,0,0,13,1,16.6,609.9,2.72176
50,100,3,1,1,94.8,4853,1.95343,0.0335729,0,0,9,1,28.2,822.7,3.42774
50,100,3,2,1,87.8,4853,1.80919,0.0291214,0,0,8.9,1,26.6,902.2,2.94835
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
1000,20,1,1,1,403.4,18983,2.12506,0.0370114,0,0,150.2,1,3825,102920,3.71649
1000,20,1,2,1,648.6,18983,3.41674,0.0580007,0,0,150.2,1,7156.6,123151,5.81123
1000,20,2,1,1,202.6,18983,1.06727,0.0167074,0,0,63,1,1195.4,70872,1.6867
1000,20,2,2,1,190.4,18983,1.003,0.0144926,0,0,63,1,1044.4,71800.6,1.45458
1000,20,3,1,1,250.6,18983,1.32013,0.0212712,0,0,45,1,2195.4,97128.8,2.2603
1000,20,3,2,1,226.8,18983,1.19475,0.018654,0,0,43.6,1,1955.2,104622,1.86882
1000,40,1,1,1,407,38963,1.04458,0.0181971,0,0,150,1,3733.8,204281,1.82777
1000,40,1,2,1,416,38963,1.06768,0.0171395,0,0,150.2,1,4081,238394,1.71187
1000,40,2,1,1,236.4,38963,0.606729,0.00935515,0,0,63,1,1446.8,153774,0.940862
1000,40,2,2,1,227.2,38963,0.583117,0.00825562,0,0,63,1,1306.8,158064,0.826755
1000,40,3,1,1,233.8,38963,0.600056,0.00999466,0,0,45,1,2044.8,198200,1.03168
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
10000,20,1,1,1,3459,0,inf,549176,0,0,1481.4,1,549501,0,inf
10000,20,1,2,1,6051.2,0,inf,1.09102e+06,0,0,1485.6,1,1.09188e+06,0,inf
10000,20,2,1,1,639.2,0,inf,85967.8,0,0,198,1,86369.2,0,inf
10000,20,2,2,1,573.4,0,inf,73892.4,0,0,198,1,74415.8,0,inf
10000,20,3,1,1,797.2,0,inf,147521,0,0,137.2,1,149672,0,inf
10000,20,3,2,1,744.2,0,inf,149345,0,0,134.6,1,149526,0,inf
10000,40,1,1,1,3423.4,0,inf,730214,0,0,1481.8,1,730642,0,inf
10000,40,1,2,1,3520.8,0,inf,882525,0,0,1484.2,1,883884,0,inf
10000,40,2,1,1,685,0,inf,110056,0,0,198,1,110173,0,inf
10000,40,2,2,1,757.4,0,inf,130132,0,0,198,1,132036,0,inf
10000,40,3,1,1,761.4,0,inf,178944,0,0,137.4,1,179304,0,inf
10000,40,3,2,1,815.2,0,inf,192059,0,0,135.4,1,192849,0,inf
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
1000,40,3,2,1,242.4,38963,0.622129,0.0103311,0,0,43.8,1,2363,226080,1.04521
