n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,20,1,1,1,36.9,933,3.95498,0.0678449,0,0,7.5,1,13.7,198.5,6.90176,440
50,20,1,2,1,49.2,933,5.27331,0.0824124,0,0,7.5,1,18.3,217.3,8.42154,584
50,20,2,1,1,47.6,933,5.10182,0.0728654,0,0,13,1,8,107.4,7.44879,590
50,20,2,2,1,46.6,933,4.99464,0.0627103,0,0,13,1,7.4,116.1,6.37382,562
50,20,3,1,1,47,933,5.03751,0.0808873,0,0,9,1,13.3,157.7,8.43373,589
50,20,3,2,1,41.2,933,4.41586,0.0650172,0,0,8.9,1,11.6,171,6.78363,478
50,40,1,1,1,45.5,1913,2.37846,0.0395352,0,0,7.6,1,15.4,379.6,4.0569,567
50,40,1,2,1,52.7,1913,2.75484,0.0429982,0,0,7.5,1,18.2,415.9,4.37605,657
50,40,2,1,1,53.7,1913,2.80711,0.0408625,0,0,13,1,9,215.7,4.17246,671
50,40,2,2,1,56.2,1913,2.93779,0.0401181,0,0,13,1,9.5,235.3,4.0374,690
50,40,3,1,1,58.9,1913,3.07893,0.0522195,0,0,9,1,16.8,315.1,5.33164,752
50,40,3,2,1,49.2,1913,2.57188,0.0410818,0,0,8.9,1,14.5,342,4.23977,601
50,60,1,1,1,56.8,2893,1.96336,0.0336279,0,0,7.6,1,19.7,576.3,3.41836,719
50,60,1,2,1,57.1,2893,1.97373,0.0310704,0,0,7.5,1,20.3,634.4,3.19987,724
50,60,2,1,1,69.5,2893,2.40235,0.0358395,0,0,13,1,12.2,331.3,3.68246,874
50,60,2,2,1,66.5,2893,2.29865,0.0320112,0,0,13,1,12.1,374.1,3.23443,831
50,60,3,1,1,64,2893,2.21224,0.0373972,0,0,9,1,19.2,496.4,3.86785,807
50,60,3,2,1,58,2893,2.00484,0.0320019,0,0,8.9,1,17.5,540.7,3.23655,740
50,80,1,1,1,63.6,3873,1.64214,0.0286326,0,0,7.6,1,23.7,816,2.90441,818
50,80,1,2,1,61.5,3873,1.58792,0.0259528,0,0,7.5,1,22.9,871.6,2.62735,750
50,80,2,1,1,74.7,3873,1.92874,0.0283673,0,0,13,1,12.8,441.6,2.89855,946
50,80,2,2,1,71.2,3873,1.83837,0.0254537,0,0,13,1,12.4,483.2,2.56623,904
50,80,3,1,1,74.8,3873,1.93132,0.0329215,0,0,8.9,1,21.8,648.2,3.36316,940
50,80,3,2,1,68.6,3873,1.77124,0.0286484,0,0,8.9,1,20.5,705,2.9078,860
50,100,1,1,1,67.3,4853,1.38677,0.0241922,0,0,7.6,1,23.9,972,2.45885,844
50,100,1,2,1,70.6,4853,1.45477,0.0232014,0,0,7.5,1,25.1,1059,2.37016,889
50,100,2,1,1,82,4853,1.68968,0.0249366,0,0,13,1,14.1,553.8,2.54605,1058
50,100,2,2,1,81.2,4853,1.67319,0.0220287,0,0,13,1,13.5,607.2,2.22332,1031
50,100,3,1,1,86.3,4853,1.77828,0.0304673,0,0,9,1,25.3,809.4,3.12577,1052
50,100,3,2,1,71.9,4853,1.48156,0.0240311,0,0,8.9,1,21.6,881.9,2.44926,903
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
1000,20,1,1,1,403.4,18983,2.12506,0.0376343,0,0,150.2,1,4911,130049,3.77627,2246
1000,20,1,2,1,647.6,18983,3.41147,0.0571162,0,0,150.2,1,7781.4,136017,5.72089,3462
1000,20,2,1,1,202,18983,1.06411,0.0169576,0,0,63,1,1317.8,76978,1.71192,1219
1000,20,2,2,1,190.2,18983,1.00195,0.0148318,0,0,63,1,1283.6,86157.4,1.48983,1196
1000,20,3,1,1,249.6,18983,1.31486,0.0214715,0,0,45,1,2423,106347,2.27839,1556
1000,20,3,2,1,226.4,18983,1.19265,0.0183273,0,0,43.6,1,2206,120169,1.83574,1387
1000,40,1,1,1,406,38963,1.04201,0.0186028,0,0,150,1,4376.2,233887,1.87107,2313
1000,40,1,2,1,414.8,38963,1.0646,0.0175122,0,0,150.2,1,4068.2,232105,1.75274,2374
1000,40,2,1,1,235.8,38963,0.60519,0.00954178,0,0,63,1,1419.4,148139,0.958157,1451
1000,40,2,2,1,222.8,38963,0.571825,0.00818146,0,0,63,1,1340,163648,0.818832,1439
1000,40,3,1,1,233,38963,0.598003,0.0100262,0,0,45,1,2284.8,220578,1.03583,1395
1000,40,3,2,1,237.6,38963,0.609809,0.0096552,0,0,43.8,1,2334.8,240110,0.972388,1436
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
10000,20,1,1,1,3459.6,0,inf,552488,0,0,1481.4,1,552723,0,inf,17969
10000,20,1,2,1,6050.2,0,inf,1.09337e+06,0,0,1485.6,1,1.09405e+06,0,inf,31050
10000,20,2,1,1,638.8,0,inf,89437.9,0,0,198,1,89698.8,0,inf,3928
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
10000,40,1,1,1,3423,0,inf,588829,0,0,1481.8,1,589106,0,inf,17976
10000,40,1,2,1,3519.4,0,inf,666304,0,0,1484.2,1,666763,0,inf,18520
10000,40,2,1,1,684.6,0,inf,101974,0,0,198,1,102142,0,inf,4280
10000,40,2,2,1,754,0,inf,123233,0,0,198,1,125038,0,inf,4676
10000,40,3,1,1,761,0,inf,185622,0,0,137.4,1,186021,0,inf,4592
10000,40,3,2,1,810,0,inf,199725,0,0,135.4,1,200633,0,inf,4870
10000,60,1,1,1,2923.6,0,inf,701534,0,0,1482.2,1,701813,0,inf,15731
10000,60,1,2,1,2735.6,0,inf,811905,0,0,1484.4,1,814210,0,inf,14789
10000,60,2,1,1,872,0,inf,186174,0,0,198,1,187208,0,inf,5606
10000,60,2,2,1,891,0,inf,177850,0,0,198,1,178075,0,inf,5893
10000,60,3,1,1,901.4,0,inf,264431,0,0,137,1,264748,0,inf,5745
10000,60,3,2,1,833.6,0,inf,239233,0,0,135.4,1,242016,0,inf,5095
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
1000,60,1,1,1,372,58943,0.631118,0.0114234,0,0,150,1,3955.8,330551,1.19673,2209
1000,60,1,2,1,359,58943,0.609063,0.00958591,0,0,150.2,1,3175.2,330666,0.960243,2118
1000,60,2,1,1,279,58943,0.473339,0.00753303,0,0,63,1,1514.4,199864,0.757717,1791
1000,60,2,2,1,257.4,58943,0.436693,0.00635474,0,0,63,1,1427.2,223490,0.638596,1648
1000,60,3,1,1,246.2,58943,0.417692,0.00717259,0,0,45,1,2236.8,310395,0.720631,1535
1000,60,3,2,1,270.2,58943,0.458409,0.00718614,0,0,43.8,1,2442.2,339292,0.719793,1698
1000,80,1,1,1,365.8,78923,0.46349,0.00759244,0,0,150,1,3624.8,475333,0.762581,2203
1000,80,1,2,1,360.4,78923,0.456648,0.00674081,0,0,150.2,1,4050.8,598229,0.677132,2187
1000,80,2,1,1,301.4,78923,0.381891,0.0053654,0,0,63,1,1890.6,352995,0.535588,1948
1000,80,2,2,1,299,78923,0.37885,0.00454695,0,0,63,1,2124.4,474930,0.447308,1933
1000,80,3,1,1,280,78923,0.354776,0.00550681,0,0,45,1,2913.2,525817,0.554033,1718
1000,80,3,2,1,320.4,78923,0.405965,0.00604268,0,0,43.8,1,3713.4,608225,0.610531,2111
1000,100,1,1,1,380,98903,0.384215,0.00597984,0,0,150,1,4438.2,742189,0.597988,2376
1000,100,1,2,1,358,98903,0.361971,0.00552724,0,0,150.4,1,4648,831323,0.559109,2247
1000,100,2,1,1,325.6,98903,0.329211,0.00446611,0,0,63,1,2194,482692,0.454534,2114
1000,100,2,2,1,326,98903,0.329616,0.00374281,0,0,63,1,2007.2,536126,0.37439,2117
1000,100,3,1,1,326.8,98903,0.330425,0.0051155,0,0,45,1,3472.8,664685,0.522473,2070
1000,100,3,2,1,354.8,98903,0.358735,0.00563457,0,0,43.8,1,4737.8,835939,0.566764,2339
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
