Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,45,15,0,0,8,1,55,2.26536
1,0,933,185,0,0,8,1,0,2.26536
1,1,44,16,0,0,7,1,52,2.12217
1,0,933,204,0,0,7,1,0,2.12217
1,1,34,12,0,0,7,1,39,2.04445
1,0,933,198,0,0,7,1,0,2.04445
1,1,29,11,0,0,7,1,34,1.91238
1,0,933,206,0,0,7,1,0,1.91238
1,1,39,16,0,0,9,1,46,2.43267
1,0,933,192,0,0,9,1,0,2.43267
1,1,26,10,0,0,8,1,33,2.17613
1,0,933,202,0,0,8,1,0,2.1598
1,1,36,12,0,0,7,1,41,2.11865
1,0,933,196,0,0,7,1,0,2.11865
1,1,47,19,0,0,7,1,55,1.91926
1,0,933,197,0,0,7,1,0,1.91926
1,1,32,13,0,0,8,1,41,2.12172
1,0,933,202,0,0,8,1,0,2.12172
1,1,37,13,0,0,7,1,44,1.73461
1,0,933,203,0,0,7,1,0,1.73461
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,49,17,0,0,8,1,55,2.42227
1,0,933,207,0,0,8,1,0,2.42227
1,1,42,16,0,0,7,1,48,2.22689
1,0,933,224,0,0,7,1,0,2.22689
1,1,35,15,0,0,7,1,40,2.15223
1,0,933,219,0,0,7,1,0,2.15223
1,1,58,22,0,0,7,1,72,2.02414
1,0,933,228,0,0,7,1,0,2.02414
1,1,54,19,0,0,9,1,68,2.58291
1,0,933,214,0,0,9,1,0,2.58291
1,1,49,19,0,0,8,1,57,2.31201
1,0,933,216,0,0,8,1,0,2.31201
1,1,37,14,0,0,7,1,42,2.25315
1,0,933,220,0,0,7,1,0,2.25315
1,1,72,26,0,0,7,1,86,2.04912
1,0,933,223,0,0,7,1,0,2.04912
1,1,36,13,0,0,8,1,44,2.30056
1,0,933,219,0,0,8,1,0,2.25069
1,1,60,22,0,0,7,1,72,1.84026
1,0,933,203,0,0,7,1,0,1.84026
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,43,7,0,0,13,1,54,2.26999
1,0,933,111,0,0,13,1,0,2.26999
1,1,31,6,0,0,13,1,44,2.21904
1,0,933,108,0,0,13,1,0,2.21904
1,1,47,8,0,0,13,1,57,2.28623
1,0,933,108,0,0,13,1,0,2.28623
1,1,57,9,0,0,13,1,69,2.47179
1,0,933,106,0,0,13,1,0,2.47179
1,1,48,8,0,0,13,1,57,2.35614
1,0,933,106,0,0,13,1,0,2.35614
1,1,41,7,0,0,13,1,54,2.21192
1,0,933,107,0,0,13,1,0,2.21192
1,1,60,11,0,0,13,1,72,2.37727
1,0,933,106,0,0,13,1,0,2.37727
1,1,67,11,0,0,13,1,82,2.33061
1,0,933,109,0,0,13,1,0,2.33061
1,1,38,6,0,0,13,1,47,2.22543
1,0,933,107,0,0,13,1,0,2.22543
1,1,44,7,0,0,13,1,54,2.39742
1,0,933,106,0,0,13,1,0,2.39742
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,52,8,0,0,13,1,64,2.44634
1,0,933,116,0,0,13,1,0,2.44634
1,1,50,8,0,0,13,1,59,2.36951
1,0,933,118,0,0,13,1,0,2.36951
1,1,51,9,0,0,13,1,57,2.42695
1,0,933,117,0,0,13,1,0,2.42695
1,1,43,7,0,0,13,1,58,2.64633
1,0,933,115,0,0,13,1,0,2.63186
1,1,49,8,0,0,13,1,58,2.53697
1,0,933,120,0,0,13,1,0,2.53697
1,1,51,8,0,0,13,1,61,2.36796
1,0,933,116,0,0,13,1,0,2.36796
1,1,40,6,0,0,13,1,48,2.51497
1,0,933,114,0,0,13,1,0,2.51497
1,1,57,9,0,0,13,1,67,2.50678
1,0,933,115,0,0,13,1,0,2.50678
1,1,41,6,0,0,13,1,48,2.36558
1,0,933,116,0,0,13,1,0,2.36558
1,1,32,5,0,0,13,1,42,2.56122
1,0,933,114,0,0,13,1,0,2.56122
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,39,11,0,0,9,1,48,2.59431
1,0,933,154,0,0,9,1,0,2.59431
1,1,62,19,0,0,9,1,77,2.71468
1,0,933,155,0,0,9,1,0,2.71468
1,1,41,12,0,0,7,1,58,2.25967
1,0,933,163,0,0,7,1,0,2.25967
1,1,30,8,0,0,10,1,36,2.68893
1,0,933,160,0,0,10,1,0,2.68893
1,1,53,15,0,0,9,1,61,3.05615
1,0,933,152,0,0,9,1,0,3.05615
1,1,36,10,0,0,8,1,44,2.1946
1,0,933,162,0,0,8,1,0,2.1946
1,1,74,21,0,0,9,1,100,2.17339
1,0,933,161,0,0,9,1,0,2.17339
1,1,52,15,0,0,9,1,67,2.52173
1,0,933,159,0,0,9,1,0,2.52173
1,1,46,12,0,0,11,1,52,2.33363
1,0,933,156,0,0,11,1,0,2.33363
1,1,37,10,0,0,9,1,46,2.86219
1,0,933,155,0,0,9,1,0,2.83563
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,32,9,0,0,9,1,36,2.74361
1,0,933,167,0,0,9,1,0,2.74361
1,1,39,11,0,0,9,1,46,2.88502
1,0,933,165,0,0,9,1,0,2.88502
1,1,47,14,0,0,7,1,52,2.35772
1,0,933,177,0,0,7,1,0,2.35772
1,1,20,5,0,0,10,1,24,2.76823
1,0,933,168,0,0,10,1,0,2.76823
1,1,45,13,0,0,8,1,53,3.17715
1,0,933,167,0,0,8,1,0,3.17715
1,1,44,13,0,0,8,1,57,2.34755
1,0,933,176,0,0,8,1,0,2.34755
1,1,55,15,0,0,9,1,60,2.31591
1,0,933,175,0,0,9,1,0,2.31591
1,1,33,9,0,0,9,1,41,2.68867
1,0,933,170,0,0,9,1,0,2.68867
1,1,52,14,0,0,11,1,58,2.45755
1,0,933,171,0,0,11,1,0,2.45755
1,1,45,13,0,0,9,1,51,3.06807
1,0,933,174,0,0,9,1,0,3.06807
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,43,14,0,0,8,1,57,4.48131
1,0,1913,362,0,0,8,1,0,4.48131
1,1,34,12,0,0,7,1,42,4.21342
1,0,1913,389,0,0,7,1,0,4.21342
1,1,47,16,0,0,8,1,56,4.05996
1,0,1913,382,0,0,8,1,0,4.05996
1,1,41,14,0,0,7,1,54,3.80876
1,0,1913,398,0,0,7,1,0,3.80876
1,1,50,18,0,0,9,1,58,4.82904
1,0,1913,368,0,0,9,1,0,4.82904
1,1,35,12,0,0,8,1,44,4.32742
1,0,1913,376,0,0,8,1,0,4.29745
1,1,43,14,0,0,7,1,52,4.20665
1,0,1913,386,0,0,7,1,0,4.20665
1,1,75,26,0,0,7,1,91,3.81897
1,0,1913,387,0,0,7,1,0,3.81897
1,1,39,13,0,0,8,1,55,4.20992
1,0,1913,385,0,0,8,1,0,4.20992
1,1,48,15,0,0,7,1,58,3.44961
1,0,1913,363,0,0,7,1,0,3.44961
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,55,20,0,0,8,1,69,4.79135
1,0,1913,402,0,0,8,1,0,4.79135
1,1,52,19,0,0,7,1,66,4.41775
1,0,1913,419,0,0,7,1,0,4.41775
1,1,56,19,0,0,7,1,83,4.26586
1,0,1913,420,0,0,7,1,0,4.26586
1,1,43,15,0,0,7,1,55,3.98685
1,0,1913,436,0,0,7,1,0,3.98685
1,1,78,26,0,0,9,1,94,5.1235
1,0,1913,399,0,0,9,1,0,5.1235
1,1,47,16,0,0,8,1,55,4.55702
1,0,1913,421,0,0,8,1,0,4.55702
1,1,44,15,0,0,7,1,55,4.4599
1,0,1913,423,0,0,7,1,0,4.4599
1,1,61,22,0,0,7,1,74,4.04584
1,0,1913,420,0,0,7,1,0,4.04584
1,1,40,14,0,0,8,1,46,4.44914
1,0,1913,424,0,0,8,1,0,4.44914
1,1,51,16,0,0,7,1,60,3.62161
1,0,1913,395,0,0,7,1,0,3.62161
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,49,8,0,0,13,1,64,4.50042
1,0,1913,213,0,0,13,1,0,4.50042
1,1,42,7,0,0,13,1,56,4.40475
1,0,1913,226,0,0,13,1,0,4.40475
1,1,55,9,0,0,13,1,66,4.54227
1,0,1913,217,0,0,13,1,0,4.54227
1,1,57,10,0,0,13,1,72,4.9047
1,0,1913,213,0,0,13,1,0,4.9047
1,1,38,7,0,0,13,1,48,4.69428
1,0,1913,216,0,0,13,1,0,4.66926
1,1,57,10,0,0,13,1,72,4.38549
1,0,1913,215,0,0,13,1,0,4.38549
1,1,77,13,0,0,13,1,93,4.71815
1,0,1913,213,0,0,13,1,0,4.71815
1,1,71,11,0,0,13,1,89,4.61521
1,0,1913,214,0,0,13,1,0,4.61521
1,1,43,7,0,0,13,1,52,4.41738
1,0,1913,218,0,0,13,1,0,4.41738
1,1,48,8,0,0,13,1,59,4.75197
1,0,1913,212,0,0,13,1,0,4.75197
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,57,9,0,0,13,1,71,4.83055
1,0,1913,235,0,0,13,1,0,4.83055
1,1,52,9,0,0,13,1,64,4.67694
1,0,1913,235,0,0,13,1,0,4.67694
1,1,51,9,0,0,13,1,63,4.80451
1,0,1913,239,0,0,13,1,0,4.80451
1,1,63,11,0,0,13,1,70,5.22533
1,0,1913,231,0,0,13,1,0,5.22533
1,1,53,9,0,0,13,1,67,5.01208
1,0,1913,234,0,0,13,1,0,5.01208
1,1,59,10,0,0,13,1,71,4.67359
1,0,1913,243,0,0,13,1,0,4.67359
1,1,55,9,0,0,13,1,72,4.97873
1,0,1913,232,0,0,13,1,0,4.97873
1,1,70,12,0,0,13,1,82,4.96365
1,0,1913,235,0,0,13,1,0,4.96365
1,1,52,9,0,0,13,1,63,4.68271
1,0,1913,238,0,0,13,1,0,4.68271
1,1,50,8,0,0,13,1,67,5.04908
1,0,1913,231,0,0,13,1,0,5.04908
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,44,13,0,0,9,1,55,5.15139
1,0,1913,306,0,0,9,1,0,5.15139
1,1,63,18,0,0,9,1,74,5.38049
1,0,1913,312,0,0,9,1,0,5.38049
1,1,65,19,0,0,7,1,84,4.49651
1,0,1913,330,0,0,7,1,0,4.49651
1,1,43,12,0,0,10,1,56,5.36515
1,0,1913,314,0,0,10,1,0,5.36515
1,1,52,15,0,0,9,1,59,6.05878
1,0,1913,311,0,0,9,1,0,6.05878
1,1,47,13,0,0,8,1,63,4.37009
1,0,1913,314,0,0,8,1,0,4.37009
1,1,84,24,0,0,9,1,124,4.30329
1,0,1913,324,0,0,9,1,0,4.30329
1,1,60,17,0,0,9,1,77,5.00898
1,0,1913,313,0,0,9,1,0,5.00898
1,1,70,19,0,0,11,1,78,4.63429
1,0,1913,311,0,0,11,1,0,4.63429
1,1,61,18,0,0,9,1,82,5.63219
1,0,1913,316,0,0,9,1,0,5.63219
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,41,12,0,0,9,1,48,5.4326
1,0,1913,330,0,0,9,1,0,5.4326
1,1,48,14,0,0,9,1,60,5.72755
1,0,1913,331,0,0,9,1,0,5.72755
1,1,51,15,0,0,7,1,60,4.67834
1,0,1913,352,0,0,7,1,0,4.67834
1,1,35,10,0,0,10,1,41,5.56957
1,0,1913,345,0,0,10,1,0,5.52545
1,1,58,17,0,0,8,1,64,6.34063
1,0,1913,334,0,0,8,1,0,6.34063
1,1,29,8,0,0,8,1,33,4.61803
1,0,1913,343,0,0,8,1,0,4.61803
1,1,54,17,0,0,9,1,65,4.59385
1,0,1913,354,0,0,9,1,0,4.59385
1,1,51,15,0,0,9,1,66,5.33057
1,0,1913,351,0,0,9,1,0,5.33057
1,1,63,18,0,0,11,1,80,4.87037
1,0,1913,339,0,0,11,1,0,4.87037
1,1,62,19,0,0,9,1,84,6.05039
1,0,1913,341,0,0,9,1,0,6.05039
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,56,18,0,0,8,1,73,6.7089
1,0,2893,550,0,0,8,1,0,6.7089
1,1,52,19,0,0,7,1,67,6.31439
1,0,2893,584,0,0,7,1,0,6.31439
1,1,58,20,0,0,8,1,72,6.08196
1,0,2893,584,0,0,8,1,0,6.08196
1,1,41,15,0,0,7,1,49,5.70694
1,0,2893,593,0,0,7,1,0,5.70694
1,1,62,21,0,0,9,1,79,7.23189
1,0,2893,554,0,0,9,1,0,7.23189
1,1,54,19,0,0,8,1,65,6.43454
1,0,2893,578,0,0,8,1,0,6.43454
1,1,66,22,0,0,7,1,97,6.36396
1,0,2893,586,0,0,7,1,0,6.30332
1,1,79,29,0,0,7,1,89,5.71853
1,0,2893,591,0,0,7,1,0,5.71853
1,1,42,15,0,0,8,1,57,6.30378
1,0,2893,589,0,0,8,1,0,6.30378
1,1,58,19,0,0,7,1,71,5.1668
1,0,2893,554,0,0,7,1,0,5.1668
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,63,21,0,0,8,1,83,7.17093
1,0,2893,588,0,0,8,1,0,7.17093
1,1,55,20,0,0,7,1,64,6.61153
1,0,2893,629,0,0,7,1,0,6.61153
1,1,40,14,0,0,7,1,48,6.37623
1,0,2893,635,0,0,7,1,0,6.37623
1,1,37,13,0,0,7,1,47,5.97051
1,0,2893,645,0,0,7,1,0,5.97051
1,1,79,27,0,0,9,1,105,7.66687
1,0,2893,599,0,0,9,1,0,7.66687
1,1,73,28,0,0,8,1,88,6.82798
1,0,2893,656,0,0,8,1,0,6.82798
1,1,45,16,0,0,7,1,56,6.67052
1,0,2893,649,0,0,7,1,0,6.67052
1,1,51,18,0,0,7,1,62,6.05844
1,0,2893,672,0,0,7,1,0,6.05844
1,1,60,24,0,0,8,1,81,6.66097
1,0,2893,647,0,0,8,1,0,6.66097
1,1,68,22,0,0,7,1,90,5.42234
1,0,2893,624,0,0,7,1,0,5.42234
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,65,12,0,0,13,1,78,6.73973
1,0,2893,335,0,0,13,1,0,6.73973
1,1,47,8,0,0,13,1,60,6.59621
1,0,2893,332,0,0,13,1,0,6.59621
1,1,59,10,0,0,13,1,75,6.80396
1,0,2893,328,0,0,13,1,0,6.80396
1,1,77,14,0,0,13,1,95,7.349
1,0,2893,335,0,0,13,1,0,7.349
1,1,66,11,0,0,13,1,83,6.99499
1,0,2893,324,0,0,13,1,0,6.99499
1,1,68,12,0,0,13,1,90,6.56708
1,0,2893,343,0,0,13,1,0,6.56708
1,1,109,19,0,0,13,1,140,7.06955
1,0,2893,333,0,0,13,1,0,7.06955
1,1,83,15,0,0,13,1,99,6.91197
1,0,2893,324,0,0,13,1,0,6.91197
1,1,59,10,0,0,13,1,76,6.61951
1,0,2893,333,0,0,13,1,0,6.61951
1,1,62,11,0,0,13,1,78,7.11762
1,0,2893,326,0,0,13,1,0,7.11762
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,61,11,0,0,13,1,70,7.22662
1,0,2893,364,0,0,13,1,0,7.22662
1,1,59,11,0,0,13,1,73,6.99888
1,0,2893,372,0,0,13,1,0,6.99888
1,1,63,11,0,0,13,1,80,7.19955
1,0,2893,368,0,0,13,1,0,7.19955
1,1,89,15,0,0,13,1,102,7.82651
1,0,2893,357,0,0,13,1,0,7.82651
