n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,20,1,1,0,203.8,933,21.8435,5.46828,3,3109,7.8,3.8,3246.8,563,576.696
50,20,1,2,0,193,933,20.686,3.69702,0.8,2199.8,7.6,5,2315.4,572.6,404.366
50,20,2,1,0,244.2,933,26.1736,10.3462,0,5250.2,13,4.8,5366.6,496.6,1080.67
50,20,2,2,0,246,933,26.3666,8.50181,0,4675,13,6,4785.4,529.2,904.271
50,20,3,1,0,209.2,933,22.4223,6.21038,0,3906.8,8.4,4.2,4033.6,514.8,783.528
50,20,3,2,0,220.6,933,23.6442,5.95606,0.2,4491.4,8.4,5,4620.6,539.6,856.301
50,40,1,1,0,237.2,1913,12.3994,2.44979,1.2,3263.2,7.8,4.2,3413.4,1312.6,260.049
50,40,1,2,0,235.4,1913,12.3053,1.95874,1,2850.4,7.6,5.8,2995.8,1398.6,214.2
50,40,2,1,0,277,1913,14.4799,3.9558,0,5101,13,4.6,5223,1250.4,417.706
50,40,2,2,0,264.8,1913,13.8421,3.09231,0,4169,13,6.8,4282.4,1356.4,315.718
50,40,3,1,0,247,1913,12.9117,2.9763,0.4,4338.8,8.4,4,4485.2,1252.8,358.014
50,40,3,2,0,246.6,1913,12.8907,2.49774,0.2,3538,8.4,5.4,3674.2,1335.2,275.18
50,60,1,1,0,283.6,2893,9.80297,2.03164,2.2,4777.6,7.8,3.8,4971.8,2280.2,218.042
50,60,1,2,0,272,2893,9.402,1.4826,0.6,3828.8,7.6,5.2,3999.6,2451.4,163.156
50,60,2,1,0,362.6,2893,12.5337,4.39637,0,10807.8,13,4.2,10996.4,2364.8,465.003
50,60,2,2,0,295.4,2893,10.2109,1.97563,0,5263.6,13,6.4,5390.2,2528.8,213.152
50,60,3,1,0,313.8,2893,10.8469,2.95772,0.2,7946.2,8.4,3.6,8151.4,2320.4,351.293
50,60,3,2,0,289.2,2893,9.99654,1.82897,0,4863,8.4,5.2,5029.2,2450.2,205.257
50,80,1,1,0,332.8,3873,8.59282,1.91651,3.2,7107,7.8,3.6,7348,3549.8,206.998
50,80,1,2,0,322.4,3873,8.3243,1.39574,1.6,5631.6,7.6,5.2,5846.2,3811.6,153.379
50,80,2,1,0,414.8,3873,10.71,3.89403,0,14190,13,4.2,14404.2,3519.2,409.303
50,80,2,2,0,352.4,3873,9.09889,1.97335,0,7874,13,6.6,8031,3762.6,213.443
50,80,3,1,0,371.4,3873,9.58947,2.77711,0.6,11173.6,8.4,3,11420.2,3409.2,334.982
50,80,3,2,0,342.8,3873,8.85102,1.82014,0.2,7385,8.4,5.2,7592.2,3600.8,210.848
50,100,1,1,0,378.2,4853,7.79312,1.82992,5.6,9041,7.8,4,9319.8,4736.2,196.778
50,100,1,2,0,357,4853,7.35627,1.2941,2.4,7075.2,7.6,5.2,7319.8,5027.8,145.587
50,100,2,1,0,455.6,4853,9.38801,3.56668,0,18327.6,13,4,18571,4730.8,392.555
50,100,2,2,0,398.4,4853,8.20936,1.91279,0,10409.4,13,6.6,10594.4,5093.6,207.994
50,100,3,1,0,423,4853,8.71626,2.67213,1,14907.8,8.4,4,15200.2,4707.6,322.886
50,100,3,2,0,401,4853,8.26293,1.93027,1.4,10699.4,8.4,5.6,10951.6,4934.4,221.944
