Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,31,5,0,0,7,1,5.19964
1,0,1133,101,0,0,7,1,5.19964
0,1,322,299,0,214,7,4,4.97051
0,0,1133,256,0,0,7,4,4.97051
1,1,40,6,0,0,8,1,4.12873
1,0,1133,102,0,0,8,1,4.12873
0,1,338,318,0,226,7,5,4.0675
0,0,1133,259,0,0,7,5,4.0675
1,1,55,8,0,0,8,1,4.61854
1,0,1133,103,0,0,8,1,4.61854
0,1,332,340,0,248,8,4,4.46681
0,0,1133,278,0,0,8,4,4.46681
1,1,18,2,0,0,7,1,4.15547
1,0,1133,102,0,0,7,1,4.15547
0,1,309,219,0,136,7,3,4.14136
0,0,1133,199,0,0,7,3,4.14136
1,1,49,8,0,0,7,1,4.03458
1,0,1133,101,0,0,7,1,4.03458
0,1,304,228,0,148,7,4,3.91065
0,0,1133,218,0,0,7,4,3.91065
1,1,49,7,0,0,7,1,4.2111
1,0,1133,101,0,0,7,1,4.2111
0,1,305,232,0,153,7,4,4.07033
0,0,1133,210,0,0,7,4,4.07033
1,1,25,4,0,0,7,1,4.48967
1,0,1133,104,0,0,7,1,4.48967
0,1,309,257,0,173,7,3,4.43152
0,0,1133,237,0,0,7,3,4.43152
1,1,22,3,0,0,5,1,4.425
1,0,1133,101,0,0,5,1,4.425
0,1,249,185,0,122,5,3,4.40666
0,0,1133,262,0,0,5,3,4.40666
1,1,23,4,0,0,6,1,4.40368
1,0,1133,100,0,0,6,1,4.40368
0,1,276,189,0,118,6,2,4.38202
0,0,1133,248,0,0,6,2,4.38202
1,1,44,7,0,0,6,1,4.14002
1,0,1133,102,0,0,6,1,4.14002
0,1,275,194,0,121,6,4,4.10469
0,0,1133,223,0,0,6,4,4.10469
