Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,532,718,0,610,9,4,11,6.16611
0,0,1713,499,0,0,9,4,0,6.16611
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,532,750,0,641,9,4,11,6.16611
0,0,1713,507,0,0,9,4,0,6.16611
0,1,537,700,0,586,9,5,11,6.1272
0,0,1713,523,0,0,9,5,0,6.1272
0,1,894,2442,0,2247,9,5,19,6.94536
0,0,1713,579,0,0,9,5,0,6.94536
0,1,769,1540,0,1369,9,4,16,6.10594
0,0,1713,529,0,0,9,4,0,6.10594
0,1,532,655,0,544,9,3,11,5.92473
0,0,1713,476,0,0,9,3,0,5.92473
